Azusa Pacific University (Azusa, CA)
Cabarrus College of Health Sciences (Concord, NC)
Coppin State University (Baltimore, MD)
Creighton University (Omaha, NE)
Dominican University (River Forest, IL)
East Carolina University (Greenville, NC)
Emory University (Atlanta, GA)
George Mason University (Fairfax, VA)
Georgetown University (Washington, DC)
Grambling State University (Grambling, LA)
Howard University (Washington, DC)
Mount Saint Mary's University (Los Angeles, CA)
Northeastern University (Boston, MA)
Pacific Lutheran University (Tacoma, WA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Regis University (Denver, CO)
SUNY &#8212; Binghamton (Binghamton, NY)
SUNY &#8212; University at Buffalo (Buffalo, NY)
Simmons College (Boston, MA)
St. Louis University (St. Louis, MO)
Texas Christian University (Fort Worth, TX)
The Catholic University of America (Washington, DC)
Towson University (Towson, MD)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Florida (Gainesville, FL)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Nevada, Reno (Reno, NV)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of North Carolina at Greensboro (Greensboro, NC)
University of San Diego (San Diego, CA)
University of San Francisco (San Francisco, CA)
University of Virginia (Charlottesville, VA)
Valparaiso University (Valparaiso, IN)
Villanova University (Villanova, PA)
