Agnes Scott College (Decatur, GA): 1926
Albion College (Albion, MI): 1940
Alfred University (Alfred, NY): 2004
Allegheny College (Meadville, PA): 1902
Alma College (Alma, MI): 1980
American University (Washington, DC): 1944
Amherst College (Amherst, MA): 1853
Arizona State University (Tempe, AZ): 1973
Auburn University (Auburn, AL): 2001
Augustana College (Rock Island, IL): 1950
Austin College (Sherman, TX): 2001
Barnard College (New York, NY): 1901
Bates College (Lewiston, ME): 1917
Baylor University (Waco, TX): 1977
Beloit College (Beloit, WI): 1911
Birmingham&#8211;Southern College (Birmingham, AL): 1937
Boston College (Chestnut Hill, MA): 1971
Boston University (Boston, MA): 1899
Bowdoin College (Brunswick, ME): 1825
Bowling Green State University (Bowling Green, OH): 1983
Brandeis University (Waltham, MA): 1962
Brown University (Providence, RI): 1830
Bucknell University (Lewisburg, PA): 1940
Butler University (Indianapolis, IN): 2010
CUNY &#8212; Brooklyn College (Brooklyn, NY): 1950
CUNY &#8212; City College (New York, NY): 1867
CUNY &#8212; Hunter College (New York, NY): 1920
CUNY &#8212; Lehman College (Bronx, NY): 1971
CUNY &#8212; Queens College (Flushing, NY): 1950
California State University &#8212; Long Beach (Long Beach, CA): 1977
Carleton College (Northfield, MN): 1914
Carnegie Mellon University (Pittsburgh, PA): 1995
Case Western Reserve University (Cleveland, OH): 1847
Centre College (Danville, KY): 1971
Chatham University (Pittsburgh, PA): 1962
Claremont McKenna College (Claremont, CA): 1983
Clark University (Worcester, MA): 1953
Clemson University (Clemson, SC): 2006
Coe College (Cedar Rapids, IA): 1949
Colby College (Waterville, ME): 1896
Colgate University (Hamilton, NY): 1878
College of Saint Benedict (St. Joseph, MN): 2010
College of William and Mary (Williamsburg, VA): 1776
College of the Holy Cross (Worcester, MA): 1974
Colorado College (Colorado Springs, CO): 1904
Colorado State University (Fort Collins, CO): 1973
Columbia University (New York, NY): 1869
Connecticut College (New London, CT): 1935
Cornell College (Mount Vernon, IA): 1923
Cornell University (Ithaca, NY): 1882
Creighton University (Omaha, NE): 2012
Dartmouth College (Hanover, NH): 1787
Davidson College (Davidson, NC): 1923
DePauw University (Greencastle, IN): 1889
Denison University (Granville, OH): 1911
Dickinson College (Carlisle, PA): 1887
Drake University (Des Moines, IA): 1923
Drew University (Madison, NJ): 1980
Duke University (Durham, NC): 1920
Earlham College (Richmond, IN): 1965
Eckerd College (St. Petersburg, FL): 2004
Elmira College (Elmira, NY): 1940
Elon University (Elon, NC): 2010
Emory University (Atlanta, GA): 1929
Fairfield University (Fairfield, CT): 1995
Fisk University (Nashville, TN): 1953
Florida International University (Miami, FL): 2001
Fordham University (New York, NY): 1962
Franklin & Marshall College (Lancaster, PA): 1908
Furman University (Greenville, SC): 1973
George Mason University (Fairfax, VA): 2013
Georgetown University (Washington, DC): 1965
Gettysburg College (Gettysburg, PA): 1923
Goucher College (Baltimore, MD): 1905
Grinnell College (Grinnell, IA): 1908
Gustavus Adolphus College (St. Peter, MN): 1983
Hamilton College (Clinton, NY): 1870
Hamline University (St. Paul, MN): 1974
Hampden&#8211;Sydney College (Hampden-Sydney, VA): 1949
Harvard University (Cambridge, MA): 1781
Haverford College (Haverford, PA): 1899
