 class="name">Royal C of Art (United Kingdom)
Arizona State University (Tempe, AZ)
Art Center College of Design (Pasadena, CA)
California State University &#8212; Long Beach (Long Beach, CA)
College for Creative Studies (Detroit, MI)
Drexel University (Philadelphia, PA)
Ferris State University (Big Rapids, MI)
Flagler College (St. Augustine, FL)
Michigan State University (East Lansing, MI)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Northeastern University (Boston, MA)
Pratt Institute (Brooklyn, NY)
Rhode Island School of Design (Providence, RI)
Rochester Institute of Technology (Rochester, NY)
Savannah College of Art and Design (Savannah, GA)
Syracuse University (Syracuse, NY)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Louisiana at Lafayette (Lafayette, LA)
