Arizona State University (Tempe, AZ)
Auburn University (Auburn, AL)
California State University &#8212; Fresno (Fresno, CA)
California State University &#8212; Fullerton (Fullerton, CA)
Clemson University (Clemson, SC)
Coastal Carolina University (Conway, SC)
Mississippi State University (Mississippi State, MS)
Northwestern University (Evanston, IL)
Oklahoma State University (Stillwater, OK)
Oregon State University (Corvallis, OR)
Rice University (Houston, TX)
Southern Illinois University, Edwardsville (Edwardsville, IL)
Stanford University (Stanford, CA)
Texas A&M University &#8212; College Station (College Station, TX)
Texas Christian University (Fort Worth, TX)
Texas Wesleyan University (Fort Worth, TX)
The Florida State University (Tallahassee, FL)
The University of Texas at Austin (Austin, TX)
University of Arkansas (Fayetteville, AR)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Irvine (Irvine, CA)
University of Florida (Gainesville, FL)
University of Louisville (Louisville, KY)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Mississippi (University, MS)
University of Missouri &#8212; Columbia (Columbia, MO)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
Vanderbilt University (Nashville, TN)
Wichita State University (Wichita, KS)
