Abilene Christian University (Abilene, TX)
Adelphi University (Garden City, NY)
Ashland University (Ashland, OH)
Augustana College (Rock Island, IL)
Bryant University (Smithfield, RI)
Caldwell College (Caldwell, NJ)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Los Angeles (Los Angeles, CA)
California University of Pennsylvania (California, PA)
Carson&#8211;Newman College (Jefferson City, TN)
Colorado Mesa University (Grand Junction, CO)
Columbus State University (Columbus, GA)
Delta State University (Cleveland, MS)
Florida Gulf Coast University (Fort Myers, FL)
Florida Southern College (Lakeland, FL)
Fort Hays State University (Hays, KS)
Francis Marion University (Florence, SC)
Franklin Pierce University (Rindge, NH)
Georgia College and State University (Milledgeville, GA)
Grand Valley State University (Allendale, MI)
Kennesaw State University (Kennesaw, GA)
Kutztown University of Pennsylvania (Kutztown, PA)
Massachusetts, University of, Lowell (Lowell, MA)
Minnesota State University &#8212; Mankato (Mankato, MN)
Mount Olive College (Mount Olive, NC)
Ouachita Baptist University (Arkadelphia, AR)
Saginaw Valley State University (University Center, MI)
Slippery Rock University of Pennsylvania (Slippery Rock, PA)
Sonoma State University (Rohnert Park, CA)
Southeastern Oklahoma State University (Durant, OK)
St. Edward's University (Austin, TX)
St. Mary's University of San Antonio (San Antonio, TX)
Tusculum College (Greeneville, TN)
University of California, San Diego (La Jolla, CA)
University of Central Missouri (Warrensburg, MO)
University of Central Oklahoma (Edmond, OK)
University of Montevallo (Montevallo, AL)
University of Nebraska &#8212; Omaha (Omaha, NE)
University of North Florida (Jacksonville, FL)
University of Southern Indiana (Evansville, IN)
University of Tampa (Tampa, FL)
Wayne State University (Detroit, MI)
West Chester University of Pennsylvania (West Chester, PA)
West Virginia State University (Institute, WV)
