Chapman University (Orange, CA)
Christopher Newport University (Newport News, VA)
Eastern Connecticut State University (Willimantic, CT)
Emory University (Atlanta, GA)
Geneva College (Beaver Falls, PA)
George Fox University (Newberg, OR)
Greenville College (Greenville, IL)
Gwynedd&#8211;Mercy College (Gwynedd Valley, PA)
Illinois Wesleyan University (Bloomington, IL)
Ithaca College (Ithaca, NY)
Johns Hopkins University (Baltimore, MD)
Kean University (Union, NJ)
Keene State College (Keene, NH)
Lancaster Bible College (Lancaster, PA)
Luther College (Decorah, IA)
Marietta College (Marietta, OH)
Methodist University (Fayetteville, NC)
Millsaps College (Jackson, MS)
Montclair State University (Montclair, NJ)
North Carolina Wesleyan College (Rocky Mount, NC)
North Central University (Minneapolis, MN)
Otterbein University (Westerville, OH)
Pacific Lutheran University (Tacoma, WA)
Ramapo College of New Jersey (Mahwah, NJ)
Rensselaer Polytechnic Institute (Troy, NY)
Ripon College (Ripon, WI)
SUNY &#8212; Cortland (Cortland, NY)
SUNY College at Oneonta (Oneonta, NY)
Salisbury University (Salisbury, MD)
St. John Fisher College (Rochester, NY)
St. Olaf College (Northfield, MN)
Texas Lutheran University (Seguin, TX)
The College of New Jersey (Ewing, NJ)
The College of Wooster (Wooster, OH)
Transylvania University (Lexington, KY)
University of Saint Thomas (St. Paul, MN)
University of Southern Maine (Gorham, ME)
University of Texas at Dallas (Richardson, TX)
University of Wisconsin &#8212; Oshkosh (Oshkosh, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
Wartburg College (Waverly, IA)
Washington & Jefferson College (Washington, PA)
Washington University in St. Louis (St. Louis, MO)
Western New England University (Springfield, MA)
Wheaton College (Norton, MA)
Williams College (Williamstown, MA)
