Avila University (Kansas City, MO)
Azusa Pacific University (Azusa, CA)
Belhaven University (Jackson, MS)
Bellevue University (Bellevue, NE)
Bethany College (Lindsborg, KS)
Bluefield College (Bluefield, VA)
California Baptist University (Riverside, CA)
Campbellsville University (Campbellsville, KY)
Cumberland University (Lebanon, TN)
Dickinson State University (Dickinson, ND)
Embry&#8211;Riddle Aeronautical University &#8212; Daytona Beach (Daytona Beach, FL)
Faulkner University (Montgomery, AL)
Hillsdale Free Will Baptist College (Moore, OK): *Member of the NCCAA
Indiana Institute of Technology (Fort Wayne, IN)
Judson University (Elgin, IL)
Lee University (Cleveland, TN)
Lewis&#8211;Clark State College (Lewiston, ID)
Lindenwood University (St. Charles, MO)
Louisiana State University &#8212; Shreveport (Shreveport, LA)
Lubbock Christian University (Lubbock, TX)
Mid&#8211;America Christian University (Oklahoma City, OK)
Ohio Dominican University (Columbus, OH)
Oklahoma City University (Oklahoma City, OK)
Southeastern University (Lakeland, FL)
Southern Wesleyan University (Central, SC)
Spring Arbor University (Spring Arbor, MI)
St. Thomas University (Miami Gardens, FL)
Tennessee Wesleyan College (Athens, TN)
Trevecca Nazarene University (Nashville, TN)
Trinity Christian College (Palos Heights, IL)
Trinity International University (Deerfield, IL)
York College (York, NE)
