Abilene Christian University (Abilene, TX)
Adelphi University (Garden City, NY)
Arizona State University (Tempe, AZ)
Ashland University (Ashland, OH)
Auburn University (Auburn, AL)
Augustana College (Rock Island, IL)
Avila University (Kansas City, MO)
Azusa Pacific University (Azusa, CA)
Belhaven University (Jackson, MS)
Bellevue University (Bellevue, NE)
Bethany College (Lindsborg, KS)
Bluefield College (Bluefield, VA)
Bryant University (Smithfield, RI)
Caldwell College (Caldwell, NJ)
California Baptist University (Riverside, CA)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Fresno (Fresno, CA)
California State University &#8212; Fullerton (Fullerton, CA)
California State University &#8212; Los Angeles (Los Angeles, CA)
California University of Pennsylvania (California, PA)
Campbellsville University (Campbellsville, KY)
Carson&#8211;Newman College (Jefferson City, TN)
Chapman University (Orange, CA)
Christopher Newport University (Newport News, VA)
Clemson University (Clemson, SC)
Coastal Carolina University (Conway, SC)
Colorado Mesa University (Grand Junction, CO)
Columbus State University (Columbus, GA)
Cumberland University (Lebanon, TN)
Delta State University (Cleveland, MS)
Dickinson State University (Dickinson, ND)
Eastern Connecticut State University (Willimantic, CT)
Embry&#8211;Riddle Aeronautical University &#8212; Daytona Beach (Daytona Beach, FL)
Emory University (Atlanta, GA)
Faulkner University (Montgomery, AL)
Florida Gulf Coast University (Fort Myers, FL)
Florida Southern College (Lakeland, FL)
Fort Hays State University (Hays, KS)
Francis Marion University (Florence, SC)
Franklin Pierce University (Rindge, NH)
Geneva College (Beaver Falls, PA)
George Fox University (Newberg, OR)
Georgia College and State University (Milledgeville, GA)
Grand Valley State University (Allendale, MI)
Greenville College (Greenville, IL)
Gwynedd&#8211;Mercy College (Gwynedd Valley, PA)
Hillsdale Free Will Baptist College (Moore, OK)
Illinois Wesleyan University (Bloomington, IL)
Indiana Institute of Technology (Fort Wayne, IN)
Ithaca College (Ithaca, NY)
Johns Hopkins University (Baltimore, MD)
Judson University (Elgin, IL)
Kean University (Union, NJ)
Keene State College (Keene, NH)
Kennesaw State University (Kennesaw, GA)
Kutztown University of Pennsylvania (Kutztown, PA)
Lancaster Bible College (Lancaster, PA)
Lee University (Cleveland, TN)
Lewis&#8211;Clark State College (Lewiston, ID)
Lindenwood University (St. Charles, MO)
Louisiana State University &#8212; Shreveport (Shreveport, LA)
Lubbock Christian University (Lubbock, TX)
Luther College (Decorah, IA)
Marietta College (Marietta, OH)
Massachusetts, University of, Lowell (Lowell, MA)
Methodist University (Fayetteville, NC)
Mid&#8211;America Christian University (Oklahoma City, OK)
Millsaps College (Jackson, MS)
Minnesota State University &#8212; Mankato (Mankato, MN)
Mississippi State University (Mississippi State, MS)
Montclair State University (Montclair, NJ)
Mount Olive College (Mount Olive, NC)
North Carolina Wesleyan College (Rocky Mount, NC)
North Central University (Minneapolis, MN)
Northwestern University (Evanston, IL)
Ohio Dominican University (Columbus, OH)
Oklahoma City University (Oklahoma City, OK)
Oklahoma State University (Stillwater, OK)
