Alfred State College (Alfred, NY)
Bowling Green State University (Bowling Green, OH)
Bradley University (Peoria, IL)
CUNY &#8212; New York City College of Technology (Brooklyn, NY)
California Polytechnic State University &#8212; San Luis Obispo (San Luis Obispo, CA)
Clemson University (Clemson, SC)
Drexel University (Philadelphia, PA)
East Carolina University (Greenville, NC)
Ferris State University (Big Rapids, MI)
Florida International University (Miami, FL)
Georgia Southern University (Statesboro, GA)
Indiana State University (Terre Haute, IN)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Michigan State University (East Lansing, MI)
Middle Tennessee State University (Murfreesboro, TN)
Mississippi State University (Mississippi State, MS)
Murray State University (Murray, KY)
North Dakota State University (Fargo, ND)
Northern Arizona University (Flagstaff, AZ)
Oklahoma State University (Stillwater, OK)
Pennsylvania College of Technology (Williamsport, PA)
Pratt Institute (Brooklyn, NY)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Roger Williams University (Bristol, RI)
Southeast Missouri State University (Cape Girardeau, MO)
State Fair Community College (Sedalia, MO)
Triton College (River Grove, IL)
University of Arkansas at Little Rock (Little Rock, AR)
University of Denver (Denver, CO)
University of Houston (Houston, TX)
University of Louisiana at Monroe (Monroe, LA)
University of Maryland &#8212; Eastern Shore (Princess Anne, MD)
University of North Florida (Jacksonville, FL)
University of Washington, Seattle (Seattle, WA)
University of West Florida (Pensacola, FL)
Utah Valley University (Orem, UT)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Wentworth Institute of Technology (Boston, MA)
