Boston University (Boston, MA)
Brigham Young University &#8212; Provo (Provo, UT)
California State University &#8212; Fullerton (Fullerton, CA)
California State University &#8212; Long Beach (Long Beach, CA)
Clemson University (Clemson, SC)
Duke University (Durham, NC)
Florida International University (Miami, FL)
Fordham University (New York, NY)
George Mason University (Fairfax, VA)
Georgia Southern University (Statesboro, GA)
Hofstra University (Hempstead, NY)
Indiana University Bloomington (Bloomington, IN)
Iowa State University (Ames, IA)
James Madison University (Harrisonburg, VA)
Lindenwood University (St. Charles, MO)
Michigan State University (East Lansing, MI)
Missouri State University (Springfield, MO)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Northwestern University (Evanston, IL)
Oakland University (Rochester, MI)
Ohio State University &#8212; Columbus (Columbus, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
Sam Houston State University (Huntsville, TX)
Southeast Missouri State University (Cape Girardeau, MO)
Southeastern Louisiana University (Hammond, LA)
Southern Illinois University &#8212; Carbondale (Carbondale, IL)
St. John's University (Queens, NY)
Texas Christian University (Fort Worth, TX)
The Florida State University (Tallahassee, FL)
University of Alabama, Birmingham (Birmingham, AL)
University of Cincinnati (Cincinnati, OH)
University of Colorado, Boulder (Boulder, CO)
University of Delaware (Newark, DE)
University of Georgia (Athens, GA)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Kentucky (Lexington, KY)
University of Louisville (Louisville, KY)
University of Memphis (Memphis, TN)
University of Miami (Coral Gables, FL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Missouri &#8212; Columbia (Columbia, MO)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Northern Iowa (Cedar Falls, IA)
University of Pittsburgh (Pittsburgh, PA)
University of Saint Thomas (St. Paul, MN)
University of Southern California (Los Angeles, CA)
University of Tennessee at Knoxville (Knoxville, TN)
University of Texas at Arlington (Arlington, TX)
University of Wisconsin &#8212; Milwaukee (Milwaukee, WI)
University of Wyoming (Laramie, WY)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
