Auburn University (Auburn, AL)
Augsburg College (Minneapolis, MN)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bowling Green State University (Bowling Green, OH)
Brandeis University (Waltham, MA)
Colorado College (Colorado Springs, CO)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Duke University (Durham, NC)
East Carolina University (Greenville, NC)
Grand Valley State University (Allendale, MI)
Illinois State University (Normal, IL)
Indiana University Bloomington (Bloomington, IN)
Liberty University (Lynchburg, VA)
Massachusetts, University of, Lowell (Lowell, MA)
Miami University &#8212; Oxford (Oxford, OH)
Michigan State University (East Lansing, MI)
New England College (Henniker, NH)
Niagara University (Niagara University, NY)
Northeastern University (Boston, MA)
Northern Michigan University (Marquette, MI)
Northwestern University (Evanston, IL)
Oakland University (Rochester, MI)
Ohio State University &#8212; Columbus (Columbus, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
Providence College (Providence, RI)
Rensselaer Polytechnic Institute (Troy, NY)
Robert Morris University (Chicago, IL)
SUNY &#8212; Oswego (Oswego, NY)
St. Lawrence University (Canton, NY)
Syracuse University (Syracuse, NY)
The University of Alabama (Tuscaloosa, AL)
University of California, Davis (Davis, CA)
University of Delaware (Newark, DE)
University of Denver (Denver, CO)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Maryland, College Park (College Park, MD)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of New Hampshire (Durham, NH)
University of Notre Dame (Notre Dame, IN)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Madison (Madison, WI)
University of Wisconsin &#8212; Stout (Menomonie, WI)
Western Michigan University (Kalamazoo, MI)
