Northwestern College (Orange City, IA)
Azusa Pacific University (Azusa, CA)
Bethel College (North Newton, KS)
Bethel University (McKenzie, TN)
Black Hills State University (Spearfish, SD)
Carroll College (Helena, MT)
Friends University (Wichita, KS)
Georgetown College (Georgetown, KY)
Jamestown College (Jamestown, ND)
Lindenwood University (St. Charles, MO)
Malone University (Canton, OH)
MidAmerica Nazarene University (Olathe, KS)
Missouri Valley College (Marshall, MO)
Morningside College (Sioux City, IA)
Nebraska Wesleyan University (Lincoln, NE)
Northwestern Oklahoma State University (Alva, OK)
Ohio Dominican University (Columbus, OH)
St. Ambrose University (Davenport, IA)
St. Xavier University (Chicago, IL)
Sterling College (Sterling, KS)
University of Saint Francis (Fort Wayne, IN)
University of Sioux Falls (Sioux Falls, SD)
University of Virginia &#8212; Wise (Wise, VA)
