Alabama Agricultural and Mechanical University (Normal, AL)
Arkansas Tech University (Russellville, AR)
Ashland University (Ashland, OH)
Baker College of Muskegon (Muskegon, MI)
Ball State University (Muncie, IN)
California State Polytechnic University &#8212; Pomona (Pomona, CA)
Central Michigan University (Mount Pleasant, MI)
Champlain College (Burlington, VT)
Clark Atlanta University (Atlanta, GA)
College of Charleston (Charleston, SC)
College of the Ozarks (Point Lookout, MO)
Colorado State University (Fort Collins, CO)
Drexel University (Philadelphia, PA)
East Carolina University (Greenville, NC)
Endicott College (Beverly, MA)
Ferris State University (Big Rapids, MI)
Georgia Southern University (Statesboro, GA)
Georgia State University (Atlanta, GA)
Howard University (Washington, DC)
Indiana University &#8212; Purdue University Indianapolis (Indianapolis, IN)
Indiana University of Pennsylvania (Indiana, PA)
Iowa State University (Ames, IA)
James Madison University (Harrisonburg, VA)
Johnson State College (Johnson, VT)
Kansas State University (Manhattan, KS)
Keuka College (Keuka Park, NY)
Lamar University (Beaumont, TX)
Marywood University (Scranton, PA)
Mercyhurst University (Erie, PA)
Metropolitan State College of Denver (Denver, CO)
Michigan State University (East Lansing, MI)
Missouri State University (Springfield, MO)
New Mexico State University (Las Cruces, NM)
New York Institute of Technology (Old Westbury, NY)
New York University (New York, NY)
Niagara University (Niagara University, NY)
Norfolk State University (Norfolk, VA)
North Dakota State University (Fargo, ND)
Northern Arizona University (Flagstaff, AZ)
Northern Michigan University (Marquette, MI)
Rochester Institute of Technology (Rochester, NY)
Roosevelt University (Chicago, IL)
SUNY &#8212; Plattsburgh (Plattsburgh, NY)
SUNY &#8212; University at Buffalo (Buffalo, NY)
SUNY College at Oneonta (Oneonta, NY)
SUNY College of A&T &#8212; Cobleskill (Cobleskill, NY)
SUNY College of Technology at Delhi (Delhi, NY)
South Dakota State University (Brookings, SD)
Southern New Hampshire University (Manchester, NH)
Southern Oregon University (Ashland, OR)
St. John's University (Queens, NY)
St. Thomas University (Miami Gardens, FL)
Stephen F. Austin State University (Nacogdoches, TX)
Syracuse University (Syracuse, NY)
The Florida State University (Tallahassee, FL)
The University of Alabama (Tuscaloosa, AL)
The University of Montana (Missoula, MT)
Tuskegee University (Tuskegee, AL)
University of Alaska Anchorage (Anchorage, AK)
University of Arkansas at Pine Bluff (Pine Bluff, AR)
University of Central Florida (Orlando, FL)
University of Central Missouri (Warrensburg, MO)
University of Delaware (Newark, DE)
University of Denver (Denver, CO)
University of Houston (Houston, TX)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Louisiana at Lafayette (Lafayette, LA)
University of Maryland &#8212; Eastern Shore (Princess Anne, MD)
University of Minnesota at Crookston (Crookston, MN)
University of Missouri &#8212; Columbia (Columbia, MO)
University of Nevada, Las Vegas (Las Vegas, NV)
University of New Hampshire (Durham, NH)
University of New Haven (West Haven, CT)
University of North Texas (Denton, TX)
University of San Francisco (San Francisco, CA)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Wisconsin &#8212; Stout (Menomonie, WI)
Virginia State University (Petersburg, VA)
Washington State University (Pullman, WA)
Webber International University (Babson Park, FL)
Western Kentucky University (Bowling Green, KY)
Widener University (Chester, PA)
