Alfred State College (Alfred, NY)
Alfred University (Alfred, NY)
Auburn University (Auburn, AL)
Averett University (Danville, VA)
Baylor University (Waco, TX)
Bennington College (Bennington, VT)
Bethany College (Bethany, WV)
Bridgewater College (Bridgewater, VA)
Brown University (Providence, RI)
California Polytechnic State University &#8212; San Luis Obispo (San Luis Obispo, CA)
California State Polytechnic University &#8212; Pomona (Pomona, CA)
California State University &#8212; Fresno (Fresno, CA)
Cazenovia College (Cazenovia, NY)
Centenary College (Hackettstown, NJ)
Colby&#8211;Sawyer College (New London, NH)
College of Charleston (Charleston, SC)
Colorado State University (Fort Collins, CO)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
Delaware State University (Dover, DE)
Delaware Valley College (Doylestown, PA)
Earlham College (Richmond, IN)
Elon University (Elon, NC)
Fairfield University (Fairfield, CT)
Feather River College (Quincy, CA)
Goucher College (Baltimore, MD)
Hollins University (Roanoke, VA)
Johnson & Wales University at Denver (Denver, CO)
Kansas State University (Manhattan, KS)
Lake Erie College (Painesville, OH)
Long Island University &#8212; C.W. Post Campus (Brookville, NY)
Lynchburg College (Lynchburg, VA)
Mary Baldwin College (Staunton, VA)
Middlebury College (Middlebury, VT)
Midway College (Midway, KY)
Mount Holyoke College (South Hadley, MA)
Murray State University (Murray, KY)
New Mexico State University (Las Cruces, NM)
North Dakota State University (Fargo, ND)
Northern Michigan University (Marquette, MI)
Ohio State University &#8212; Columbus (Columbus, OH)
Oklahoma State University (Stillwater, OK)
Otterbein University (Westerville, OH)
Pace University (New York, NY)
Randolph College (Lynchburg, VA)
Rocky Mountain College (Billings, MT)
Roger Williams University (Bristol, RI)
SUNY &#8212; Geneseo (Geneseo, NY)
SUNY College of A&T &#8212; Cobleskill (Cobleskill, NY)
Sacred Heart University (Fairfield, CT)
Sarah Lawrence College (Bronxville, NY)
Sewanee: The University of the South (Sewanee, TN)
Skidmore College (Saratoga Springs, NY)
Smith College (Northampton, MA)
South Dakota State University (Brookings, SD)
Southern Methodist University (Dallas, TX)
St. Andrews University (Laurinburg, NC)
St. Lawrence University (Canton, NY)
St. Mary&#8211;of&#8211;the&#8211;Woods College (St.Mary-of-the-Woods, IN)
Stephen F. Austin State University (Nacogdoches, TX)
Stephens College (Columbia, MO)
Stonehill College (Easton, MA)
Sweet Briar College (Sweet Briar, VA)
Texas A&M University &#8212; College Station (College Station, TX)
Texas Christian University (Fort Worth, TX)
Truman State University (Kirksville, MO)
University of California, Davis (Davis, CA)
University of Cincinnati (Cincinnati, OH)
University of Connecticut (Storrs, CT)
University of Delaware (Newark, DE)
University of Findlay (Findlay, OH)
University of Louisville (Louisville, KY)
University of Minnesota at Crookston (Crookston, MN)
University of Nevada, Reno (Reno, NV)
University of New Hampshire (Durham, NH)
University of South Carolina &#8212; Columbia (Columbia, SC)
University of Tennessee at Martin (Martin, TN)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
Warren Wilson College (Asheville, NC)
Washington College (Chestertown, MD)
Washington and Lee University (Lexington, VA)
West Texas A&M University (Canyon, TX)
William Woods University (Fulton, MO)
Wilson College (Chambersburg, PA)
Wittenberg University (Springfield, OH)
