Arizona State University (Tempe, AZ)
Briar Cliff University (Sioux City, IA)
California State University &#8212; Fresno (Fresno, CA)
Calumet College of St. Joseph (Whiting, IN)
Indiana University Bloomington (Bloomington, IN)
Lindenwood University (St. Charles, MO)
Martin Methodist College (Pulaski, TN)
McKendree University (Lebanon, IL)
Michigan State University (East Lansing, MI)
Missouri Baptist University (St. Louis, MO)
Mohawk Valley Community College (Utica, NY)
Morehead State University (Morehead, KY)
North Dakota State University (Fargo, ND)
Pennsylvania State University &#8212; University Park (University Park, PA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Robert Morris University (Chicago, IL)
Robert Morris University (Moon Township, PA)
Rochester Institute of Technology (Rochester, NY)
Saginaw Valley State University (University Center, MI)
St. John's University (Queens, NY)
The College of Wooster (Wooster, OH)
The Florida State University (Tallahassee, FL)
University of California, Davis (Davis, CA)
University of Central Florida (Orlando, FL)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Nebraska &#8212; Omaha (Omaha, NE)
University of Nevada, Las Vegas (Las Vegas, NV)
University of Pikeville (Pikeville, KY)
Vincennes University (Vincennes, IN)
West Texas A&M University (Canyon, TX)
Western Illinois University (Macomb, IL)
Wichita State University (Wichita, KS)
William Paterson University of New Jersey (Wayne, NJ)
Wright State University (Dayton, OH)
