Abilene Christian University (Abilene, TX)
Adams State College (Alamosa, CO)
Ashland University (Ashland, OH)
Augustana College (Sioux Falls, SD)
California State University &#8212; Chico (Chico, CA)
Colorado School of Mines (Golden, CO)
Dallas Baptist University (Dallas, TX)
Edinboro University of Pennsylvania (Edinboro, PA)
Grand Valley State University (Allendale, MI)
Hillsdale College (Hillsdale, MI)
Massachusetts, University of, Lowell (Lowell, MA)
Metropolitan State College of Denver (Denver, CO)
Minnesota State University &#8212; Mankato (Mankato, MN)
Missouri University of Science and Technology (Rolla, MO)
New Mexico State University (Las Cruces, NM)
Northern Kentucky University (Highland Heights, KY)
Oakland City University (Oakland City, IN)
Saginaw Valley State University (University Center, MI)
Slippery Rock University of Pennsylvania (Slippery Rock, PA)
Southern Connecticut State University (New Haven, CT)
Southwest Baptist University (Bolivar, MO)
Stonehill College (Easton, MA)
Toccoa Falls College (Toccoa Falls, GA)
University of Alaska Anchorage (Anchorage, AK)
University of Southern Indiana (Evansville, IN)
Western State College of Colorado (Gunnison, CO)
Western Washington University (Bellingham, WA)
