Allegheny College (Meadville, PA)
Amherst College (Amherst, MA)
Baptist Bible College (Springfield, MO)
Calvin University (Grand Rapids, MI)
Carleton College (Northfield, MN)
Carnegie Mellon University (Pittsburgh, PA)
Dickinson College (Carlisle, PA)
Haverford College (Haverford, PA)
Maranatha Baptist Bible College (Watertown, WI)
New York University (New York, NY)
North Central College (Naperville, IL)
Ohio Northern University (Ada, OH)
Olivet Nazarene University (Bourbonnais, IL)
SUNY &#8212; Cortland (Cortland, NY)
SUNY &#8212; Geneseo (Geneseo, NY)
St. John's University (Collegeville, MN)
St. Lawrence University (Canton, NY)
Trinity College (Hartford, CT)
University of Mount Union (Alliance, OH)
University of Wisconsin &#8212; Platteville (Platteville, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
University of Wisconsin, La Crosse (La Crosse, WI)
Wartburg College (Waverly, IA)
Wheaton College (Wheaton, IL)
Willamette University (Salem, OR)
Williams College (Williamstown, MA)
