 class="name">Miami Dade C (FL)
Arizona State University (Tempe, AZ)
California Polytechnic State University &#8212; San Luis Obispo (San Luis Obispo, CA)
College of William and Mary (Williamsburg, VA)
James Madison University (Harrisonburg, VA)
Massachusetts Institute of Technology (Cambridge, MA)
Ohio State University &#8212; Columbus (Columbus, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
SUNY &#8212; Cortland (Cortland, NY)
SUNY College &#8212; Brockport (Brockport, NY)
Southern Connecticut State University (New Haven, CT)
Springfield College (Springfield, MA)
Stanford University (Stanford, CA)
Temple University (Philadelphia, PA)
Texas A&M University &#8212; College Station (College Station, TX)
The Florida State University (Tallahassee, FL)
The University of Texas at Austin (Austin, TX)
United States Air Force Academy (USAF Academy, CO)
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Illinois at Chicago (Chicago, IL)
University of Iowa (Iowa City, IA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Oklahoma (Norman, OK)
University of Vermont (Burlington, VT)
Washington University in St. Louis (St. Louis, MO)
