Adrian College (Adrian, MI)
American International College (Springfield, MA)
Babson College (Babson Park, MA)
Bemidji State University (Bemidji, MN)
Bentley University (Waltham, MA)
Boston College (Chestnut Hill, MA)
Bowdoin College (Brunswick, ME)
Bowling Green State University (Bowling Green, OH)
Brown University (Providence, RI)
Canisius College (Buffalo, NY)
Clarkson University (Potsdam, NY)
Colgate University (Hamilton, NY)
Colorado College (Colorado Springs, CO)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Elmira College (Elmira, NY)
Ferris State University (Big Rapids, MI)
Harvard University (Cambridge, MA)
Hobart and William Smith Colleges (Geneva, NY)
Lake Superior State University (Sault Ste. Marie, MI)
Manhattanville College (Purchase, NY)
Massachusetts, University of, Lowell (Lowell, MA)
Mercyhurst University (Erie, PA)
Merrimack College (North Andover, MA)
Miami University &#8212; Oxford (Oxford, OH)
Michigan Technological University (Houghton, MI)
Middlebury College (Middlebury, VT)
Minnesota State University &#8212; Mankato (Mankato, MN)
Neumann University (Aston, PA)
Niagara University (Niagara University, NY)
Northeastern University (Boston, MA)
Norwich University (Northfield, VT)
Ohio State University &#8212; Columbus (Columbus, OH)
Princeton University (Princeton, NJ)
Providence College (Providence, RI)
Quinnipiac University (Hamden, CT)
Rensselaer Polytechnic Institute (Troy, NY)
Robert Morris University (Chicago, IL)
Rochester Institute of Technology (Rochester, NY)
SUNY &#8212; Oswego (Oswego, NY)
SUNY &#8212; Plattsburgh (Plattsburgh, NY)
Sacred Heart University (Fairfield, CT)
St. Cloud State University (St. Cloud, MN)
St. Lawrence University (Canton, NY)
St. Norbert College (De Pere, WI)
Union College (Schenectady, NY)
United States Air Force Academy (USAF Academy, CO)
United States Military Academy (West Point, NY)
University of Alaska Anchorage (Anchorage, AK)
University of Connecticut (Storrs, CT)
University of Denver (Denver, CO)
University of Maine (Orono, ME)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Duluth (Duluth, MN)
University of Nebraska &#8212; Omaha (Omaha, NE)
University of New Hampshire (Durham, NH)
University of North Dakota (Grand Forks, ND)
University of Notre Dame (Notre Dame, IN)
University of Saint Thomas (St. Paul, MN)
University of Vermont (Burlington, VT)
University of Wisconsin &#8212; Stout (Menomonie, WI)
University of Wisconsin, River Falls (River Falls, WI)
Wayne State University (Detroit, MI)
Western Michigan University (Kalamazoo, MI)
Yale University (New Haven, CT)
