Albany State University (Albany, GA)
Bellarmine University (Louisville, KY)
Brown University (Providence, RI)
Bryant University (Smithfield, RI)
Bucknell University (Lewisburg, PA)
Cabrini College (Radnor, PA)
Canisius College (Buffalo, NY)
Colgate University (Hamilton, NY)
College of the Holy Cross (Worcester, MA)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Drexel University (Philadelphia, PA)
Duke University (Durham, NC)
Endicott College (Beverly, MA)
Fairfield University (Fairfield, CT)
Georgetown University (Washington, DC)
Gettysburg College (Gettysburg, PA)
Hampden&#8211;Sydney College (Hampden-Sydney, VA)
Harvard University (Cambridge, MA)
Hobart and William Smith Colleges (Geneva, NY)
Hofstra University (Hempstead, NY)
Ithaca College (Ithaca, NY)
Johns Hopkins University (Baltimore, MD)
Keene State College (Keene, NH)
Kenyon College (Gambier, OH)
Le Moyne College (Syracuse, NY)
Lehigh University (Bethlehem, PA)
Limestone College (Gaffney, SC)
Long Island University &#8212; C.W. Post Campus (Brookville, NY)
Loyola University Maryland (Baltimore, MD)
Lynchburg College (Lynchburg, VA)
Manhattan College (Riverdale, NY)
Marist College (Poughkeepsie, NY)
Mars Hill College (Mars Hill, NC)
Mercyhurst University (Erie, PA)
Molloy College (Rockville Centre, NY)
Mount Saint Mary College (Newburgh, NY)
Nazareth College of Rochester (Rochester, NY)
New York Institute of Technology (Old Westbury, NY)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio Wesleyan University (Delaware, OH)
Pace University (New York, NY)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
Providence College (Providence, RI)
Queens University of Charlotte (Charlotte, NC)
Quinnipiac University (Hamden, CT)
Roanoke College (Salem, VA)
Robert Morris University (Chicago, IL)
Rochester Institute of Technology (Rochester, NY)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; Binghamton (Binghamton, NY)
SUNY &#8212; Cortland (Cortland, NY)
SUNY &#8212; Stony Brook (Stony Brook, NY)
Sacred Heart University (Fairfield, CT)
Saint Joseph's University (Philadelphia, PA)
Saint Michael's College (Colchester, VT)
Salisbury University (Salisbury, MD)
Siena College (Loudonville, NY)
St. Andrews University (Laurinburg, NC)
St. John's University (Queens, NY)
St. Lawrence University (Canton, NY)
Stevens Institute of Technology (Hoboken, NJ)
Syracuse University (Syracuse, NY)
Towson University (Towson, MD)
Tufts University (Medford, MA)
United States Air Force Academy (USAF Academy, CO)
United States Merchant Marine Academy (Kings Point, NY)
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
University of Delaware (Newark, DE)
University of Denver (Denver, CO)
University of Hartford (West Hartford, CT)
University of Maryland, Baltimore (Baltimore, MD)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Amherst (Amherst, MA)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
Villanova University (Villanova, PA)
Virginia Military Institute (Lexington, VA)
Wagner College (Staten Island, NY)
Wesleyan University (Middletown, CT)
Western New England University (Springfield, MA)
Wingate University (Wingate, NC)
Yale University (New Haven, CT)
