Amherst College (Amherst, MA)
Arizona State University (Tempe, AZ)
Assumption College (Worcester, MA)
Bates College (Lewiston, ME)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
Clark College (Vancouver, WA)
Colby College (Waterville, ME)
College of the Holy Cross (Worcester, MA)
Columbia University (New York, NY)
Connecticut College (New London, CT)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Drexel University (Philadelphia, PA)
Florida Institute of Technology (Melbourne, FL)
Franklin Pierce University (Rindge, NH)
Georgetown University (Washington, DC)
Gonzaga University (Spokane, WA)
Harvard University (Cambridge, MA)
Humboldt State University (Arcata, CA)
La Salle University (Philadelphia, PA)
Lewis and Clark College (Portland, OR)
Loyola Marymount University (Los Angeles, CA)
Loyola University Maryland (Baltimore, MD)
Marietta College (Marietta, OH)
Marist College (Poughkeepsie, NY)
Massachusetts Institute of Technology (Cambridge, MA)
Massachusetts Maritime Academy (Buzzards Bay, MA)
Massachusetts, University of, Lowell (Lowell, MA)
Middlebury College (Middlebury, VT)
Northeastern University (Boston, MA)
Northwestern University (Evanston, IL)
Oregon State University (Corvallis, OR)
Pacific Lutheran University (Tacoma, WA)
Princeton University (Princeton, NJ)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rochester Institute of Technology (Rochester, NY)
Rollins College (Winter Park, FL)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
SUNY &#8212; Maritime College (Throggs Neck, NY)
Saint Joseph's University (Philadelphia, PA)
Santa Clara University (Santa Clara, CA)
Seattle Pacific University (Seattle, WA)
Skidmore College (Saratoga Springs, NY)
St. Lawrence University (Canton, NY)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
Temple University (Philadelphia, PA)
The George Washington University (Washington, DC)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
Union College (Schenectady, NY)
United States Coast Guard Academy (New London, CT)
United States Merchant Marine Academy (Kings Point, NY)
United States Naval Academy (Annapolis, MD)
University of California, Berkeley (Berkeley, CA)
University of California, San Diego (La Jolla, CA)
University of Delaware (Newark, DE)
University of Mary Washington (Fredericksburg, VA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of New Hampshire (Durham, NH)
University of Pennsylvania (Philadelphia, PA)
University of Puget Sound (Tacoma, WA)
University of Rhode Island (Kingston, RI)
University of San Francisco (San Francisco, CA)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vassar College (Poughkeepsie, NY)
Villanova University (Villanova, PA)
Washington College (Chestertown, MD)
Washington University in St. Louis (St. Louis, MO)
Wesleyan University (Middletown, CT)
Western Washington University (Bellingham, WA)
Willamette University (Salem, OR)
Williams College (Williamstown, MA)
Worcester Polytechnic Institute (Worcester, MA)
Yale University (New Haven, CT)
