St. Mary's College of California
Arkansas State University (Jonesboro, AR)
Baylor University (Waco, TX)
Bentley University (Waltham, MA)
Brigham Young University &#8212; Provo (Provo, UT)
California Polytechnic State University &#8212; San Luis Obispo (San Luis Obispo, CA)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Sacramento (Sacramento, CA)
Central Washington University (Ellensburg, WA)
Clemson University (Clemson, SC)
Colorado School of Mines (Golden, CO)
Colorado State University (Fort Collins, CO)
Columbia University (New York, NY)
Harvard University (Cambridge, MA)
Humboldt State University (Arcata, CA)
Idaho State University (Pocatello, ID)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Loyola University Chicago (Chicago, IL)
Middlebury College (Middlebury, VT)
Ohio University (Athens, OH)
Oregon State University (Corvallis, OR)
Pennsylvania State University &#8212; University Park (University Park, PA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Radford University (Radford, VA)
Regis College (Weston, MA)
SUNY &#8212; Stony Brook (Stony Brook, NY)
Salisbury University (Salisbury, MD)
San Diego State University (San Diego, CA)
St. Bonaventure University (St. Bonaventure, NY)
St. Mary's College of California (Moraga, CA)
Texas A&M University &#8212; College Station (College Station, TX)
Texas State University &#8212; San Marcos (San Marcos, TX)
The University of New Mexico (Albuquerque, NM)
The University of Utah (Salt Lake City, UT)
Truman State University (Kirksville, MO)
United States Coast Guard Academy (New London, CT)
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Davis (Davis, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Delaware (Newark, DE)
University of Maine (Orono, ME)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Mississippi (University, MS)
University of Missouri &#8212; Columbia (Columbia, MO)
University of Northern Colorado (Greeley, CO)
University of Northern Iowa (Cedar Falls, IA)
University of Tennessee at Knoxville (Knoxville, TN)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Madison (Madison, WI)
University of Wisconsin &#8212; Stout (Menomonie, WI)
University of Wyoming (Laramie, WY)
