Barry University (Miami Shores, FL)
California State University &#8212; Bakersfield (Bakersfield, CA)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Dominguez Hills (Carson, CA)
Carson&#8211;Newman College (Jefferson City, TN)
Clayton State University (Morrow, GA)
East Stroudsburg University of Pennsylvania (East Stroudsburg, PA)
Fort Lewis College (Durango, CO)
Franklin Pierce University (Rindge, NH)
Grand Canyon University (Phoenix, AZ)
Lees&#8211;McRae College (Banner Elk, NC)
Lewis University (Romeoville, IL)
Lincoln Memorial University (Harrogate, TN)
Lynn University (Boca Raton, FL)
Massachusetts, University of, Lowell (Lowell, MA)
Metropolitan State College of Denver (Denver, CO)
Midwestern State University (Wichita Falls, TX)
Northern Kentucky University (Highland Heights, KY)
Oakland City University (Oakland City, IN)
Palm Beach Atlantic University (West Palm Beach, FL)
Seattle University (Seattle, WA)
Sonoma State University (Rohnert Park, CA)
Southern Connecticut State University (New Haven, CT)
Southern New Hampshire University (Manchester, NH)
Tusculum College (Greeneville, TN)
University of Bridgeport (Bridgeport, CT)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Montevallo (Montevallo, AL)
University of Tampa (Tampa, FL)
University of West Florida (Pensacola, FL)
Wingate University (Wingate, NC)
