Adelphi University (Garden City, NY)
American University (Washington, DC)
Amherst College (Amherst, MA)
Bates College (Lewiston, ME)
Bowdoin College (Brunswick, ME)
Brown University (Providence, RI)
Case Western Reserve University (Cleveland, OH)
Clark University (Worcester, MA)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
Columbia University (New York, NY)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Denison University (Granville, OH)
Drew University (Madison, NJ)
Drexel University (Philadelphia, PA)
Fordham University (New York, NY)
Franklin & Marshall College (Lancaster, PA)
Georgetown University (Washington, DC)
Goucher College (Baltimore, MD)
Hamilton College (Clinton, NY)
Harvard University (Cambridge, MA)
Haverford College (Haverford, PA)
Hobart and William Smith Colleges (Geneva, NY)
Indiana University Bloomington (Bloomington, IN)
Ithaca College (Ithaca, NY)
Lake Forest College (Lake Forest, IL)
Massachusetts Institute of Technology (Cambridge, MA)
Middlebury College (Middlebury, VT)
Muhlenberg College (Allentown, PA)
Northeastern University (Boston, MA)
Northwestern University (Evanston, IL)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
Rochester Institute of Technology (Rochester, NY)
SUNY &#8212; Albany (Albany, NY)
St. Lawrence University (Canton, NY)
Stanford University (Stanford, CA)
The George Washington University (Washington, DC)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
Tulane University (New Orleans, LA)
United States Naval Academy (Annapolis, MD)
University of Connecticut (Storrs, CT)
University of Hartford (West Hartford, CT)
University of Maryland, College Park (College Park, MD)
University of Massachusetts Boston (Boston, MA)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Southern California (Los Angeles, CA)
University of Western Ontario (London, Ontario, CAN)
Vanderbilt University (Nashville, TN)
Vassar College (Poughkeepsie, NY)
Washington University in St. Louis (St. Louis, MO)
Wesleyan University (Middletown, CT)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
