Abilene Christian University (Abilene, TX)
Assumption College (Worcester, MA)
Barry University (Miami Shores, FL)
Cameron University (Lawton, OK)
Columbus State University (Columbus, GA)
Concordia College &#8212; New York (Bronxville, NY)
Delta State University (Cleveland, MS)
Drury University (Springfield, MO)
Florida Southern College (Lakeland, FL)
Francis Marion University (Florence, SC)
Georgia College and State University (Milledgeville, GA)
Grand Valley State University (Allendale, MI)
Hawaii Pacific University (Honolulu, HI)
Kutztown University of Pennsylvania (Kutztown, PA)
Lander University (Greenwood, SC)
Lynn University (Boca Raton, FL)
Mercy College (Dobbs Ferry, NY)
Mercyhurst University (Erie, PA)
North Greenville University (Tigerville, SC)
Northwest Missouri State University (Maryville, MO)
Northwood University &#8212; Michigan Campus (Midland, MI)
Oakland City University (Oakland City, IN)
Ouachita Baptist University (Arkadelphia, AR)
Palm Beach Atlantic University (West Palm Beach, FL)
Rollins College (Winter Park, FL)
Southwest Baptist University (Bolivar, MO)
St. Edward's University (Austin, TX)
University of California, San Diego (La Jolla, CA)
University of Mary Washington (Fredericksburg, VA)
University of Nebraska &#8212; Kearney (Kearney, NE)
University of West Florida (Pensacola, FL)
University of the Incarnate Word (San Antonio, TX)
Valdosta State University (Valdosta, GA)
Washburn University (Topeka, KS)
