Amherst College (Amherst, MA)
Bowdoin College (Brunswick, ME)
Calvin University (Grand Rapids, MI)
Carnegie Mellon University (Pittsburgh, PA)
DePauw University (Greencastle, IN)
Emory University (Atlanta, GA)
Gustavus Adolphus College (St. Peter, MN)
Johns Hopkins University (Baltimore, MD)
Kalamazoo College (Kalamazoo, MI)
Kenyon College (Gambier, OH)
Middlebury College (Middlebury, VT)
Pacific Lutheran University (Tacoma, WA)
Rhodes College (Memphis, TN)
Salisbury University (Salisbury, MD)
The College of New Jersey (Ewing, NJ)
Trinity College (Hartford, CT)
Trinity University (San Antonio, TX)
Tufts University (Medford, MA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Redlands (Redlands, CA)
Washington University in St. Louis (St. Louis, MO)
Washington and Lee University (Lexington, VA)
Whitman College (Walla Walla, WA)
Williams College (Williamstown, MA)
