Aquinas College (Grand Rapids, MI)
Azusa Pacific University (Azusa, CA)
Benedictine College (Atchison, KS)
Berry College (Mount Berry, GA)
Bethel College (Mishawaka, IN)
Bethel University (McKenzie, TN)
Cedarville University (Cedarville, OH)
Concordia University &#8212; Irvine (Irvine, CA)
Cumberland University (Lebanon, TN)
Embry&#8211;Riddle Aeronautical University &#8212; Worldwide Campus (Daytona Beach, FL)
Freed&#8211;Hardeman University (Henderson, TN)
Fresno Pacific University (Fresno, CA)
Graceland University (Lamoni, IA)
Indiana Wesleyan University (Marion, IN)
Lee University (Cleveland, TN)
Lewis&#8211;Clark State College (Lewiston, ID)
Lindsey Wilson College (Columbia, KY)
Oklahoma Baptist University (Shawnee, OK)
Oklahoma Wesleyan University (Bartlesville, OK)
Olivet Nazarene University (Bourbonnais, IL)
Point Loma Nazarene University (San Diego, CA)
Savannah College of Art and Design (Savannah, GA)
Shorter University (Rome, GA)
Spring Arbor University (Spring Arbor, MI)
Union College (Barbourville, KY)
Vanguard University of Southern California (Costa Mesa, CA)
Webber International University (Babson Park, FL)
