Arizona State University (Tempe, AZ)
Auburn University (Auburn, AL)
Baylor University (Waco, TX)
Brigham Young University &#8212; Provo (Provo, UT)
Clemson University (Clemson, SC)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Massachusetts, University of, Lowell (Lowell, MA)
Oral Roberts University (Tulsa, OK)
Southern Illinois University, Edwardsville (Edwardsville, IL)
Stanford University (Stanford, CA)
Texas A&M University &#8212; College Station (College Station, TX)
Texas Christian University (Fort Worth, TX)
Texas Tech University (Lubbock, TX)
The Florida State University (Tallahassee, FL)
The University of Texas at Austin (Austin, TX)
University of Arkansas (Fayetteville, AR)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Idaho (Moscow, ID)
University of Kansas (Lawrence, KS)
University of Louisville (Louisville, KY)
University of Missouri &#8212; Columbia (Columbia, MO)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Northern Iowa (Cedar Falls, IA)
University of Oklahoma (Norman, OK)
University of Oregon (Eugene, OR)
University of Southern California (Los Angeles, CA)
University of Tennessee at Knoxville (Knoxville, TN)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
