Allegheny College (Meadville, PA)
Augustana College (Rock Island, IL)
Carthage College (Kenosha, WI)
Dickinson State University (Dickinson, ND)
Faith Baptist Bible College and Theological Seminary (Ankeny, IA)
Greenville College (Greenville, IL)
Loras College (Dubuque, IA)
Lynchburg College (Lynchburg, VA)
Monmouth College (Monmouth, IL)
Nebraska Wesleyan University (Lincoln, NE)
North Central University (Minneapolis, MN)
Ohio Northern University (Ada, OH)
SUNY &#8212; Cortland (Cortland, NY)
SUNY College &#8212; Brockport (Brockport, NY)
Southwestern Christian College (Terrell, TX)
St. John's University (Collegeville, MN)
St. Lawrence University (Canton, NY)
Tufts University (Medford, MA)
University of Mount Union (Alliance, OH)
University of Saint Thomas (St. Paul, MN)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Oshkosh (Oshkosh, WI)
University of Wisconsin &#8212; Platteville (Platteville, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
University of Wisconsin, La Crosse (La Crosse, WI)
Wartburg College (Waverly, IA)
Washington College (Chestertown, MD)
Washington University in St. Louis (St. Louis, MO)
Williams College (Williamstown, MA)
