Azusa Pacific University (Azusa, CA)
Black Hills State University (Spearfish, SD)
Cedarville University (Cedarville, OH)
Central Methodist University (Fayette, MO)
Concordia University &#8212; Irvine (Irvine, CA)
Concordia University, Nebraska (Seward, NE)
Cumberland University (Lebanon, TN)
Doane College (Crete, NE)
Graceland University (Lamoni, IA)
Hastings College (Hastings, NE)
Indiana Wesleyan University (Marion, IN)
King College (Bristol, TN)
Langston University (Langston, OK)
Lindenwood University (St. Charles, MO)
Malone University (Canton, OH)
McKendree University (Lebanon, IL)
MidAmerica Nazarene University (Olathe, KS)
Missouri Baptist University (St. Louis, MO)
Missouri Valley College (Marshall, MO)
Oklahoma Baptist University (Shawnee, OK)
Olivet Nazarene University (Bourbonnais, IL)
Roberts Wesleyan College (Rochester, NY)
Southern Nazarene University (Bethany, OK)
Spring Arbor University (Spring Arbor, MI)
Taylor University (Upland, IN)
Trinity Christian College (Palos Heights, IL)
