Arizona State University (Tempe, AZ)
Bowling Green State University (Bowling Green, OH)
Bryant University (Smithfield, RI)
Central Michigan University (Mount Pleasant, MI)
Florida Atlantic University (Boca Raton, FL)
Hofstra University (Hempstead, NY)
Iowa State University (Ames, IA)
Kansas State University (Manhattan, KS)
Kennesaw State University (Kennesaw, GA)
Lafayette College (Easton, PA)
Lehigh University (Bethlehem, PA)
Longwood University (Farmville, VA)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Mercer University (Macon, GA)
Michigan State University (East Lansing, MI)
Middle Tennessee State University (Murfreesboro, TN)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Northeastern University (Boston, MA)
Notre Dame College of Ohio (Cleveland, OH)
Ohio State University &#8212; Columbus (Columbus, OH)
Oklahoma State University (Stillwater, OK)
Old Dominion University (Norfolk, VA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
SUNY &#8212; Albany (Albany, NY)
SUNY &#8212; Binghamton (Binghamton, NY)
San Jose State University (San Jose, CA)
Texas State University &#8212; San Marcos (San Marcos, TX)
Texas Tech University (Lubbock, TX)
Towson University (Towson, MD)
University of Central Florida (Orlando, FL)
University of Dayton (Dayton, OH)
University of Findlay (Findlay, OH)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Great Falls (Great Falls, MT)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Maryland &#8212; Baltimore County (Baltimore, MD)
University of Maryland, College Park (College Park, MD)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of New Hampshire (Durham, NH)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Pittsburgh (Pittsburgh, PA)
University of Tennessee at Chattanooga (Chattanooga, TN)
University of Texas at Arlington (Arlington, TX)
University of Toledo (Toledo, OH)
University of Wisconsin &#8212; Milwaukee (Milwaukee, WI)
Upper Iowa University (Fayette, IA)
Utah State University (Logan, UT)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Wichita State University (Wichita, KS)
