Adams State College (Alamosa, CO)
Ashland University (Ashland, OH)
Augustana College (Rock Island, IL)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Carson&#8211;Newman College (Jefferson City, TN)
Catawba College (Salisbury, NC)
Chadron State College (Chadron, NE)
Edinboro University of Pennsylvania (Edinboro, PA)
Fort Hays State University (Hays, KS)
Grand Valley State University (Allendale, MI)
Lock Haven University of Pennsylvania (Lock Haven, PA)
Mercyhurst University (Erie, PA)
Minnesota State University &#8212; Mankato (Mankato, MN)
Minnesota State University &#8212; Moorhead (Moorhead, MN)
Newberry College (Newberry, SC)
Newman University (Wichita, KS)
University of Central Oklahoma (Edmond, OK)
University of Findlay (Findlay, OH)
University of Indianapolis (Indianapolis, IN)
University of Nebraska &#8212; Kearney (Kearney, NE)
University of Nebraska &#8212; Omaha (Omaha, NE)
University of Southern Indiana (Evansville, IN)
University of Wisconsin &#8212; Parkside (Kenosha, WI)
Upper Iowa University (Fayette, IA)
Western State College of Colorado (Gunnison, CO)
