Amherst College (Amherst, MA)
Apprentice School &#8212; Newport News Shipbuilding (Newport News, VA)
Augsburg College (Minneapolis, MN)
Buena Vista University (Storm Lake, IA)
Carleton College (Northfield, MN)
Case Western Reserve University (Cleveland, OH)
Coe College (Cedar Rapids, IA)
Cornell College (Mount Vernon, IA)
Delaware Valley College (Doylestown, PA)
Elizabethtown College (Elizabethtown, PA)
Elmhurst College (Elmhurst, IL)
Heidelberg University (Tiffin, OH)
Ithaca College (Ithaca, NY)
Johns Hopkins University (Baltimore, MD)
Johnson & Wales University at Denver (Denver, CO)
Knox College (Galesburg, IL)
Lawrence University (Appleton, WI)
Loras College (Dubuque, IA)
Luther College (Decorah, IA)
Lycoming College (Williamsport, PA)
Menlo College (Atherton, CA)
North Central College (Naperville, IL)
Ohio Northern University (Ada, OH)
Pacific University Oregon (Forest Grove, OR)
Rensselaer Polytechnic Institute (Troy, NY)
SUNY &#8212; Cortland (Cortland, NY)
SUNY &#8212; Oswego (Oswego, NY)
SUNY College &#8212; Brockport (Brockport, NY)
Simpson College (Indianola, IA)
Springfield College (Springfield, MA)
St. John's University (Collegeville, MN)
Swarthmore College (Swarthmore, PA)
The College of New Jersey (Ewing, NJ)
Trinity College (Hartford, CT)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
University of Wisconsin, La Crosse (La Crosse, WI)
Wartburg College (Waverly, IA)
Wilkes University (Wilkes-Barre, PA)
