Baldwin Wallace University (Berea, OH)
Brigham Young University &#8212; Provo (Provo, UT)
California Institute of Technology (Pasadena, CA)
Colorado State University &#8212; Pueblo (Pueblo, CO)
Georgia Institute of Technology (Atlanta, GA)
Indiana University Bloomington (Bloomington, IN)
Iowa State University (Ames, IA)
Kent State University (Kent, OH)
Nichols College (Dudley, MA)
Oakland University (Rochester, MI)
Ohio State University &#8212; Columbus (Columbus, OH)
Oregon State University (Corvallis, OR)
Pennsylvania State University &#8212; University Park (University Park, PA)
Rensselaer Polytechnic Institute (Troy, NY)
Southern Methodist University (Dallas, TX)
Texas A&M University &#8212; College Station (College Station, TX)
The University of Alabama (Tuscaloosa, AL)
The University of Utah (Salt Lake City, UT)
University of California, Davis (Davis, CA)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Missouri &#8212; Columbia (Columbia, MO)
University of Oregon (Eugene, OR)
University of Southern California (Los Angeles, CA)
University of Texas at Dallas (Richardson, TX)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
West Virginia University (Morgantown, WV)
