Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bowdoin College (Brunswick, ME)
Brandeis University (Waltham, MA)
Brown University (Providence, RI)
California Maritime Academy (Vallejo, CA)
California Polytechnic State University &#8212; San Luis Obispo (San Luis Obispo, CA)
College of Charleston (Charleston, SC)
College of the Holy Cross (Worcester, MA)
Connecticut College (New London, CT)
Dartmouth College (Hanover, NH)
Eckerd College (St. Petersburg, FL)
Georgetown University (Washington, DC)
Harvard University (Cambridge, MA)
Hobart and William Smith Colleges (Geneva, NY)
Massachusetts Institute of Technology (Cambridge, MA)
Massachusetts Maritime Academy (Buzzards Bay, MA)
Old Dominion University (Norfolk, VA)
Princeton University (Princeton, NJ)
Rensselaer Polytechnic Institute (Troy, NY)
Roger Williams University (Bristol, RI)
Rollins College (Winter Park, FL)
Salve Regina University (Newport, RI)
Stanford University (Stanford, CA)
Texas A&M University &#8212; College Station (College Station, TX)
Tufts University (Medford, MA)
United States Coast Guard Academy (New London, CT)
United States Merchant Marine Academy (Kings Point, NY)
United States Military Academy (West Point, NY)
United States Naval Academy (Annapolis, MD)
University of Hawaii at Manoa (Honolulu, HI)
University of Maryland, College Park (College Park, MD)
University of Rhode Island (Kingston, RI)
University of South Florida (Tampa, FL)
University of Southern California (Los Angeles, CA)
University of Vermont (Burlington, VT)
Washington College (Chestertown, MD)
Yale University (New Haven, CT)
