Alaska Pacific University (Anchorage, AK)
Appalachian State University (Boone, NC)
Brown University (Providence, RI)
California State University &#8212; Long Beach (Long Beach, CA)
Clark University (Worcester, MA)
Colorado State University (Fort Collins, CO)
Duke University (Durham, NC)
East Carolina University (Greenville, NC)
Fort Lewis College (Durango, CO)
Marquette University (Milwaukee, WI)
Montana State University &#8212; Billings (Billings, MT)
Montana State University &#8212; Bozeman (Bozeman, MT)
Montana Tech of the University of Montana (Butte, MT)
Northern Michigan University (Marquette, MI)
Northwestern University (Evanston, IL)
Pennsylvania State University &#8212; University Park (University Park, PA)
SUNY &#8212; University at Buffalo (Buffalo, NY)
San Diego State University (San Diego, CA)
Sierra Nevada College (Incline Village, NV)
Smith College (Northampton, MA)
Syracuse University (Syracuse, NY)
The College of Idaho (Caldwell, ID)
The University of Montana (Missoula, MT)
University of Alaska Anchorage (Anchorage, AK)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of Colorado, Boulder (Boulder, CO)
University of Idaho (Moscow, ID)
University of Maryland, College Park (College Park, MD)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Virginia (Charlottesville, VA)
Weber State University (Ogden, UT)
West Virginia University (Morgantown, WV)
Whitman College (Walla Walla, WA)
