Brown University (Providence, RI)
Carleton College (Northfield, MN)
Carnegie Mellon University (Pittsburgh, PA)
Chabot College (Hayward, CA)
College of William and Mary (Williamsburg, VA)
Cornell University (Ithaca, NY)
East Carolina University (Greenville, NC)
Georgia Institute of Technology (Atlanta, GA)
Harvard University (Cambridge, MA)
Indiana University Bloomington (Bloomington, IN)
Michigan State University (East Lansing, MI)
Missouri State University (Springfield, MO)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
SUNY &#8212; Purchase College (Purchase, NY)
Stanford University (Stanford, CA)
The University of Texas at Austin (Austin, TX)
Tufts University (Medford, MA)
University of California, Berkeley (Berkeley, CA)
University of California, San Diego (La Jolla, CA)
University of California, Santa Barbara (Santa Barbara, CA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Central Florida (Orlando, FL)
University of Colorado Boulder (Boulder, CO)
University of Delaware (Newark, DE)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Kansas (Lawrence, KS)
University of Massachusetts Amherst (Amherst, MA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of North Carolina at Wilmington (Wilmington, NC)
University of Oregon (Eugene, OR)
University of Pittsburgh (Pittsburgh, PA)
University of Wisconsin &#8212; Madison (Madison, WI)
Wesleyan University (Middletown, CT)
Williams College (Williamstown, MA)
