Arizona State University (Tempe, AZ)
Auburn University (Auburn, AL)
California Polytechnic State University &#8212; San Luis Obispo (San Luis Obispo, CA)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Sacramento (Sacramento, CA)
Clemson University (Clemson, SC)
Eckerd College (St. Petersburg, FL)
Florida Southern College (Lakeland, FL)
Georgia College and State University (Milledgeville, GA)
Michigan State University (East Lansing, MI)
Missouri State University (Springfield, MO)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rollins College (Winter Park, FL)
San Diego State University (San Diego, CA)
Texas A&M University &#8212; College Station (College Station, TX)
Texas State University &#8212; San Marcos (San Marcos, TX)
The University of Alabama (Tuscaloosa, AL)
The University of Texas at Austin (Austin, TX)
University of California, Davis (Davis, CA)
University of Central Florida (Orlando, FL)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Louisiana at Lafayette (Lafayette, LA)
University of Louisiana at Monroe (Monroe, LA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Tampa (Tampa, FL)
University of Wisconsin &#8212; Madison (Madison, WI)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
