Boston College (Chestnut Hill, MA)
Bridgewater State University (Bridgewater, MA)
Brookhaven College (Farmers Branch, TX)
College of the Holy Cross (Worcester, MA)
Curry College (Milton, MA)
Endicott College (Beverly, MA)
Fairfield University (Fairfield, CT)
Harvard University (Cambridge, MA)
Medaille College (Buffalo, NY)
Oklahoma State University (Stillwater, OK)
Sacred Heart University (Fairfield, CT)
Southern Methodist University (Dallas, TX)
Texas Tech University (Lubbock, TX)
University of Massachusetts Amherst (Amherst, MA)
University of Massachusetts Boston (Boston, MA)
University of North Texas (Denton, TX)
