Arizona State University (Tempe, AZ)
Arkansas State University (Jonesboro, AR)
Auburn University (Auburn, AL)
Baylor University (Waco, TX)
DePaul University (Chicago, IL)
Duke University (Durham, NC)
Georgia Institute of Technology (Atlanta, GA)
Illinois State University (Normal, IL)
Iowa State University (Ames, IA)
Kansas State University (Manhattan, KS)
Liberty University (Lynchburg, VA)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Louisiana Tech University (Ruston, LA)
Marist College (Poughkeepsie, NY)
Michigan State University (East Lansing, MI)
Ohio State University &#8212; Columbus (Columbus, OH)
Oklahoma State University (Stillwater, OK)
Old Dominion University (Norfolk, VA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
Saint Francis University (Loretto, PA)
South Dakota State University (Brookings, SD)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
Texas A&M University &#8212; College Station (College Station, TX)
The George Washington University (Washington, DC)
The University of Texas at Austin (Austin, TX)
The University of Utah (Salt Lake City, UT)
University of Arkansas (Fayetteville, AR)
University of California, Berkeley (Berkeley, CA)
University of Colorado, Boulder (Boulder, CO)
University of Connecticut (Storrs, CT)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Louisville (Louisville, KY)
University of Maryland, College Park (College Park, MD)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Notre Dame (Notre Dame, IN)
University of Oklahoma (Norman, OK)
University of Pittsburgh (Pittsburgh, PA)
University of South Dakota (Vermillion, SD)
University of Tennessee at Knoxville (Knoxville, TN)
University of Virginia (Charlottesville, VA)
University of Wyoming (Laramie, WY)
Vanderbilt University (Nashville, TN)
West Virginia University (Morgantown, WV)
Western Kentucky University (Bowling Green, KY)
Xavier University (Cincinnati, OH)
