Northwestern College (Orange City, IA)
Azusa Pacific University (Azusa, CA)
Benedictine College (Atchison, KS)
Bethel College (Mishawaka, IN)
Black Hills State University (Spearfish, SD)
California Baptist University (Riverside, CA)
Cardinal Stritch University (Milwaukee, WI)
Carroll College (Helena, MT)
College of the Ozarks (Point Lookout, MO)
Concordia University &#8212; Irvine (Irvine, CA)
Cornerstone University (Grand Rapids, MI)
Covenant College (Lookout Mountain, GA)
Cumberland University (Lebanon, TN)
Daemen College (Amherst, NY)
Dakota State University (Madison, SD)
Davenport University (Grand Rapids, MI)
Freed&#8211;Hardeman University (Henderson, TN)
Harris&#8211;Stowe State University (St. Louis, MO)
Hastings College (Hastings, NE)
Indiana Wesleyan University (Marion, IN)
Langston University (Langston, OK)
Lee University (Cleveland, TN)
Lewis&#8211;Clark State College (Lewiston, ID)
Loyola University New Orleans (New Orleans, LA)
Lubbock Christian University (Lubbock, TX)
Master's College and Seminary (Santa Clarita, CA)
Minot State University (Minot, ND)
Ohio Dominican University (Columbus, OH)
Oklahoma Baptist University (Shawnee, OK)
Oklahoma City University (Oklahoma City, OK)
Olivet Nazarene University (Bourbonnais, IL)
Point Loma Nazarene University (San Diego, CA)
Randolph&#8211;Macon College (Ashland, VA)
Shawnee State University (Portsmouth, OH)
Simpson University (Redding, CA)
Southern Nazarene University (Bethany, OK)
Southern Oregon University (Ashland, OR)
St. Ambrose University (Davenport, IA)
St. Xavier University (Chicago, IL)
Sterling College (Sterling, KS)
Trevecca Nazarene University (Nashville, TN)
Union University (Jackson, TN)
University of Rio Grande (Rio Grande, OH)
Vanguard University of Southern California (Costa Mesa, CA)
Westmont College (Santa Barbara, CA)
William Jewell College (Liberty, MO)
