American International College (Springfield, MA)
Amherst College (Amherst, MA)
Arizona State University (Tempe, AZ)
Arkansas State University (Jonesboro, AR)
Arkansas Tech University (Russellville, AR)
Assumption College (Worcester, MA)
Auburn University (Auburn, AL)
Azusa Pacific University (Azusa, CA)
Baldwin&#8211;Wallace College (Berea, OH)
Baylor University (Waco, TX)
Benedictine College (Atchison, KS)
Bethel College (Mishawaka, IN)
Black Hills State University (Spearfish, SD)
Bowdoin College (Brunswick, ME)
California Baptist University (Riverside, CA)
California State Polytechnic University &#8212; Pomona (Pomona, CA)
California State University &#8212; Chico (Chico, CA)
California University of Pennsylvania (California, PA)
Cardinal Stritch University (Milwaukee, WI)
Carroll College (Helena, MT)
College of St. Benedict (St. Joseph, MN)
College of the Ozarks (Point Lookout, MO)
Concordia College &#8212; Moorhead (Moorhead, MN)
Concordia University &#8212; Irvine (Irvine, CA)
Cornerstone University (Grand Rapids, MI)
Covenant College (Lookout Mountain, GA)
Cumberland University (Lebanon, TN)
Daemen College (Amherst, NY)
Dakota State University (Madison, SD)
Davenport University (Grand Rapids, MI)
DePaul University (Chicago, IL)
DePauw University (Greencastle, IN)
Delta State University (Cleveland, MS)
Drury University (Springfield, MO)
Duke University (Durham, NC)
Eastern Connecticut State University (Willimantic, CT)
Eastern Oregon University (La Grande, OR)
Emporia State University (Emporia, KS)
Fairmont State University (Fairmont, WV)
Florida Gulf Coast University (Fort Myers, FL)
Fort Lewis College (Durango, CO)
Franklin Pierce University (Rindge, NH)
Freed&#8211;Hardeman University (Henderson, TN)
George Fox University (Newberg, OR)
Georgia Institute of Technology (Atlanta, GA)
Grand Valley State University (Allendale, MI)
Harris&#8211;Stowe State University (St. Louis, MO)
Hastings College (Hastings, NE)
Hobart and William Smith Colleges (Geneva, NY)
Holy Family University (Philadelphia, PA)
Hope College (Holland, MI)
Howard Payne University (Brownwood, TX)
Illinois State University (Normal, IL)
Illinois Wesleyan University (Bloomington, IL)
Indiana University of Pennsylvania (Indiana, PA)
Indiana Wesleyan University (Marion, IN)
Iowa State University (Ames, IA)
Kansas State University (Manhattan, KS)
Kean University (Union, NJ)
Lake Forest College (Lake Forest, IL)
Langston University (Langston, OK)
Lee University (Cleveland, TN)
Lewis&#8211;Clark State College (Lewiston, ID)
Liberty University (Lynchburg, VA)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Louisiana Tech University (Ruston, LA)
Loyola University New Orleans (New Orleans, LA)
Lubbock Christian University (Lubbock, TX)
Marist College (Poughkeepsie, NY)
Master's College and Seminary (Santa Clarita, CA)
McMurry University (Abilene, TX)
Medaille College (Buffalo, NY)
Messiah College (Grantham, PA)
Michigan State University (East Lansing, MI)
Michigan Technological University (Houghton, MI)
Millikin University (Decatur, IL)
Minnesota State University &#8212; Mankato (Mankato, MN)
Minot State University (Minot, ND)
Morningside College (Sioux City, IA)
New York University (New York, NY)
Northern Kentucky University (Highland Heights, KY)
Northwestern College (Orange City, IA)
Oglethorpe University (Atlanta, GA)
Ohio Dominican University (Columbus, OH)
Ohio State University &#8212; Columbus (Columbus, OH)
Oklahoma Baptist University (Shawnee, OK)
Oklahoma City University (Oklahoma City, OK)
Oklahoma State University (Stillwater, OK)
Old Dominion University (Norfolk, VA)
Olivet Nazarene University (Bourbonnais, IL)
Point Loma Nazarene University (San Diego, CA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Randolph&#8211;Macon College (Ashland, VA)
Rutgers, the State University of New Jersey &#8212; New Brunswick (Piscataway, NJ)
Saint Francis University (Loretto, PA)
Seattle Pacific University (Seattle, WA)
Shawnee State University (Portsmouth, OH)
Simpson University (Redding, CA)
Sonoma State University (Rohnert Park, CA)
South Dakota State University (Brookings, SD)
Southeastern Oklahoma State University (Durant, OK)
Southern Connecticut State University (New Haven, CT)
Southern Nazarene University (Bethany, OK)
