Adelphi University (Garden City, NY)
Alabama Agricultural and Mechanical University (Normal, AL)
Arkansas State University (Jonesboro, AR)
Ball State University (Muncie, IN)
Bellarmine University (Louisville, KY)
Bowie State University (Bowie, MD)
Briar Cliff University (Sioux City, IA)
California State University &#8212; Fresno (Fresno, CA)
Calumet College of St. Joseph (Whiting, IN)
Delaware State University (Dover, DE)
Erie Community College &#8211; City Campus (Buffalo, NY)
Fayetteville State University (Fayetteville, NC)
Grand Valley State University (Allendale, MI)
Hudson Valley Community College (Troy, NY)
Jackson State University (Jackson, MS)
Lindenwood University (St. Charles, MO)
Martin Methodist College (Pulaski, TN)
McKendree University (Lebanon, IL)
Michigan State University (East Lansing, MI)
Minnesota State University &#8212; Mankato (Mankato, MN)
Morehead State University (Morehead, KY)
New Jersey City University (Jersey City, NJ)
Ohio State University &#8212; Columbus (Columbus, OH)
Pennsylvania State University &#8212; University Park (University Park, PA)
Purdue University &#8212; West Lafayette (West Lafayette, IN)
Robert Morris University (Chicago, IL)
Sacred Heart University (Fairfield, CT)
San Jose State University (San Jose, CA)
South Dakota State University (Brookings, SD)
Southern University and A&M College (Baton Rouge, LA)
St. Francis College (Brooklyn Heights, NY)
St. Peter's College (Jersey City, NJ)
The Florida State University (Tallahassee, FL)
University of California, Davis (Davis, CA)
University of Central Florida (Orlando, FL)
University of Central Missouri (Warrensburg, MO)
University of Houston (Houston, TX)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Maryland &#8212; Eastern Shore (Princess Anne, MD)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of Pikeville (Pikeville, KY)
University of Wisconsin &#8212; Platteville (Platteville, WI)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
Vanderbilt University (Nashville, TN)
Washington State University (Pullman, WA)
West Texas A&M University (Canyon, TX)
Western Illinois University (Macomb, IL)
Wichita State University (Wichita, KS)
Wright State University (Dayton, OH)
Youngstown State University (Youngstown, OH)
