Abilene Christian University (Abilene, TX)
Adams State College (Alamosa, CO)
Augustana College (Sioux Falls, SD)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
California State University &#8212; Chico (Chico, CA)
California State University &#8212; Los Angeles (Los Angeles, CA)
Dallas Baptist University (Dallas, TX)
Edinboro University of Pennsylvania (Edinboro, PA)
Grand Valley State University (Allendale, MI)
Harding University (Searcy, AR)
Kutztown University of Pennsylvania (Kutztown, PA)
Missouri Southern State University (Joplin, MO)
Palm Beach Atlantic University (West Palm Beach, FL)
Pittsburg State University (Pittsburg, KS)
Seattle Pacific University (Seattle, WA)
Southwest Baptist University (Bolivar, MO)
Stonehill College (Easton, MA)
Toccoa Falls College (Toccoa Falls, GA)
University of Alabama, Huntsville (Huntsville, AL)
University of California, San Diego (La Jolla, CA)
University of Findlay (Findlay, OH)
University of Nebraska &#8212; Kearney (Kearney, NE)
University of Southern Indiana (Evansville, IN)
University of Tampa (Tampa, FL)
University of Wisconsin &#8212; Parkside (Kenosha, WI)
Wayne State University (Detroit, MI)
Western State College of Colorado (Gunnison, CO)
