Allegheny College (Meadville, PA)
Amherst College (Amherst, MA)
Anderson University (Anderson, IN)
Augustana College (Rock Island, IL)
Baptist Bible College and Seminary (Clarks Summit, PA)
Calvin University (Grand Rapids, MI)
Carleton College (Northfield, MN)
Carnegie Mellon University (Pittsburgh, PA)
Colorado College (Colorado Springs, CO)
Crown College (St. Bonifacius, MN)
Geneva College (Beaver Falls, PA)
Haverford College (Haverford, PA)
Luther College (Decorah, IA)
Maranatha Baptist Bible College (Watertown, WI)
New York University (New York, NY)
North Central College (Naperville, IL)
Occidental College (Los Angeles, CA)
Ohio Northern University (Ada, OH)
Olivet Nazarene University (Bourbonnais, IL)
SUNY &#8212; Cortland (Cortland, NY)
SUNY &#8212; Geneseo (Geneseo, NY)
St. John's University (Collegeville, MN)
The College of New Jersey (Ewing, NJ)
Tufts University (Medford, MA)
University of Wisconsin &#8212; Platteville (Platteville, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
University of Wisconsin, La Crosse (La Crosse, WI)
Willamette University (Salem, OR)
Williams College (Williamstown, MA)
