Northwestern College (Orange City, IA)
Aquinas College (Grand Rapids, MI)
Asbury University (Wilmore, KY)
Bethel College (Mishawaka, IN)
Biola University (La Mirada, CA)
Black Hills State University (Spearfish, SD)
California State University &#8212; San Marcos (San Marcos, CA)
Cedarville University (Cedarville, OH)
Concordia University &#8212; Irvine (Irvine, CA)
Concordia University, Nebraska (Seward, NE)
Eastern Oregon University (La Grande, OR)
Grace College and Theological Seminary (Winona Lake, IN)
Indiana Institute of Technology (Fort Wayne, IN)
Indiana Wesleyan University (Marion, IN)
Kentucky Christian University (Grayson, KY)
Lewis&#8211;Clark State College (Lewiston, ID)
Malone University (Canton, OH)
MidAmerica Nazarene University (Olathe, KS)
Milligan College (Milligan College, TN)
Nebraska Wesleyan University (Lincoln, NE)
Oklahoma Wesleyan University (Bartlesville, OK)
Park University (Parkville, MO)
Point Loma Nazarene University (San Diego, CA)
Roberts Wesleyan College (Rochester, NY)
Simon Fraser University (Burnaby, CN)
Southern Wesleyan University (Central, SC)
Spring Arbor University (Spring Arbor, MI)
St. Xavier University (Chicago, IL)
Taylor University (Upland, IN)
The University of British Columbia (Vancouver, CN)
Trinity Christian College (Palos Heights, IL)
Wayland Baptist University (Plainview, TX)
Westmont College (Santa Barbara, CA)
