Alvernia University (Reading, PA)
American University (Washington, DC)
Bellarmine University (Louisville, KY)
Bentley University (Waltham, MA)
Bloomsburg University of Pennsylvania (Bloomsburg, PA)
Boston College (Chestnut Hill, MA)
Boston University (Boston, MA)
Bowdoin College (Brunswick, ME)
Bryant University (Smithfield, RI)
Christopher Newport University (Newport News, VA)
Duke University (Durham, NC)
East Stroudsburg University of Pennsylvania (East Stroudsburg, PA)
Hobart and William Smith Colleges (Geneva, NY)
Indiana University of Pennsylvania (Indiana, PA)
James Madison University (Harrisonburg, VA)
Johns Hopkins University (Baltimore, MD)
Juniata College (Huntingdon, PA)
Kutztown University of Pennsylvania (Kutztown, PA)
Lebanon Valley College (Annville, PA)
Long Island University &#8212; C.W. Post Campus (Brookville, NY)
Lynchburg College (Lynchburg, VA)
Mansfield University of Pennsylvania (Mansfield, PA)
Massachusetts, University of, Lowell (Lowell, MA)
Messiah College (Grantham, PA)
Michigan State University (East Lansing, MI)
Middlebury College (Middlebury, VT)
Ohio University (Athens, OH)
Old Dominion University (Norfolk, VA)
Pennsylvania State University &#8212; University Park (University Park, PA)
Princeton University (Princeton, NJ)
Providence College (Providence, RI)
Rowan University (Glassboro, NJ)
SUNY &#8212; Albany (Albany, NY)
SUNY &#8212; Cortland (Cortland, NY)
Salisbury University (Salisbury, MD)
Shippensburg University of Pennsylvania (Shippensburg, PA)
Skidmore College (Saratoga Springs, NY)
Springfield College (Springfield, MA)
St. Lawrence University (Canton, NY)
Stanford University (Stanford, CA)
Stonehill College (Easton, MA)
Syracuse University (Syracuse, NY)
The College of New Jersey (Ewing, NJ)
Tufts University (Medford, MA)
University of Connecticut (Storrs, CT)
University of Iowa (Iowa City, IA)
University of Louisville (Louisville, KY)
University of Maryland, College Park (College Park, MD)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Virginia (Charlottesville, VA)
Ursinus College (Collegeville, PA)
Wake Forest University (Winston Salem, NC)
Williams College (Williamstown, MA)
