Arizona State University (Tempe, AZ)
Auburn University (Auburn, AL)
Boise State University (Boise, ID)
Brown University (Providence, RI)
Centenary College (Hackettstown, NJ)
College of William and Mary (Williamsburg, VA)
Cornell University (Ithaca, NY)
Gustavus Adolphus College (St. Peter, MN)
Iowa State University (Ames, IA)
Ithaca College (Ithaca, NY)
Kent State University (Kent, OH)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Massachusetts Institute of Technology (Cambridge, MA)
Michigan State University (East Lansing, MI)
North Carolina State University &#8212; Raleigh (Raleigh, NC)
Ohio State University &#8212; Columbus (Columbus, OH)
Oregon State University (Corvallis, OR)
Pennsylvania State University &#8212; University Park (University Park, PA)
Rhode Island College (Providence, RI)
SUNY &#8212; Cortland (Cortland, NY)
SUNY College &#8212; Brockport (Brockport, NY)
Seattle Pacific University (Seattle, WA)
Southern Connecticut State University (New Haven, CT)
Stanford University (Stanford, CA)
Temple University (Philadelphia, PA)
Texas Woman's University (Denton, TX)
The University of Alabama (Tuscaloosa, AL)
The University of Arizona (Tucson, AZ)
The University of Utah (Salt Lake City, UT)
Towson University (Towson, MD)
United States Air Force Academy (USAF Academy, CO)
University of Arkansas (Fayetteville, AR)
University of Bridgeport (Bridgeport, CT)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of Denver (Denver, CO)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Iowa (Iowa City, IA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Missouri &#8212; Columbia (Columbia, MO)
University of Nebraska &#8212; Lincoln (Lincoln, NE)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Oklahoma (Norman, OK)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Stout (Menomonie, WI)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
University of Wisconsin, La Crosse (La Crosse, WI)
Ursinus College (Collegeville, PA)
West Chester University of Pennsylvania (West Chester, PA)
Wilson College (Chambersburg, PA)
Winona State University (Winona, MN)
