Barry University (Miami Shores, FL)
Bates College (Lewiston, ME)
Boston University (Boston, MA)
Brown University (Providence, RI)
Bucknell University (Lewisburg, PA)
Chapman University (Orange, CA)
Clemson University (Clemson, SC)
Colby College (Waterville, ME)
Columbia University (New York, NY)
Dartmouth College (Hanover, NH)
Duke University (Durham, NC)
Florida Institute of Technology (Melbourne, FL)
Franklin Pierce University (Rindge, NH)
Harvard University (Cambridge, MA)
Hobart and William Smith Colleges (Geneva, NY)
Humboldt State University (Arcata, CA)
Ithaca College (Ithaca, NY)
Mercyhurst University (Erie, PA)
Michigan State University (East Lansing, MI)
North Park University (Chicago, IL)
Northeastern University (Boston, MA)
Nova Southeastern University (Ft. Lauderdale, FL)
Ohio State University &#8212; Columbus (Columbus, OH)
Oregon State University (Corvallis, OR)
Pacific Lutheran University (Tacoma, WA)
Princeton University (Princeton, NJ)
Rollins College (Winter Park, FL)
Seattle Pacific University (Seattle, WA)
Skidmore College (Saratoga Springs, NY)
St. Lawrence University (Canton, NY)
Stanford University (Stanford, CA)
Syracuse University (Syracuse, NY)
Trinity College (Hartford, CT)
United States Coast Guard Academy (New London, CT)
United States Naval Academy (Annapolis, MD)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, San Diego (La Jolla, CA)
University of Central Florida (Orlando, FL)
University of Louisville (Louisville, KY)
University of Mary Washington (Fredericksburg, VA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Notre Dame (Notre Dame, IN)
University of Pennsylvania (Philadelphia, PA)
University of Puget Sound (Tacoma, WA)
University of Southern California (Los Angeles, CA)
University of Tennessee at Knoxville (Knoxville, TN)
University of Virginia (Charlottesville, VA)
University of Washington, Seattle (Seattle, WA)
University of Wisconsin &#8212; Madison (Madison, WI)
Vassar College (Poughkeepsie, NY)
Washington College (Chestertown, MD)
Washington State University (Pullman, WA)
Western Washington University (Bellingham, WA)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
