Boston College (Chestnut Hill, MA)
Brown University (Providence, RI)
Dartmouth College (Hanover, NH)
Harvard University (Cambridge, MA)
Michigan Technological University (Houghton, MI)
Montana State University &#8212; Bozeman (Bozeman, MT)
Northern Michigan University (Marquette, MI)
Saint Anselm College (Manchester, NH)
Saint Michael's College (Colchester, VT)
St. Cloud State University (St. Cloud, MN)
The University of New Mexico (Albuquerque, NM)
The University of Utah (Salt Lake City, UT)
University of Alaska Anchorage (Anchorage, AK)
University of Alaska Fairbanks (Fairbanks, AK)
University of Colorado, Boulder (Boulder, CO)
University of Denver (Denver, CO)
University of Massachusetts Amherst (Amherst, MA)
University of Nevada, Las Vegas (Las Vegas, NV)
University of New Hampshire (Durham, NH)
University of Vermont (Burlington, VT)
University of Wisconsin &#8212; Green Bay (Green Bay, WI)
Western State College of Colorado (Gunnison, CO)
