Amherst College (Amherst, MA)
Calvin University (Grand Rapids, MI)
Denison University (Granville, OH)
Elizabethtown College (Elizabethtown, PA)
Emory University (Atlanta, GA)
Hamilton College (Clinton, NY)
Hardin&#8211;Simmons University (Abilene, TX)
Hobart and William Smith Colleges (Geneva, NY)
Ithaca College (Ithaca, NY)
Messiah College (Grantham, PA)
Ohio Wesleyan University (Delaware, OH)
Richard Stockton College of New Jersey (Pomona, NJ)
SUNY College at Oneonta (Oneonta, NY)
The College of New Jersey (Ewing, NJ)
Trinity University (San Antonio, TX)
Tufts University (Medford, MA)
Union College (Schenectady, NY)
University of Chicago (Chicago, IL)
University of Puget Sound (Tacoma, WA)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
Virginia Wesleyan College (Norfolk, VA)
Washington University in St. Louis (St. Louis, MO)
Western Connecticut State University (Danbury, CT)
Wheaton College (Wheaton, IL)
Wheaton College (Norton, MA)
Whitworth College (Spokane, WA)
Williams College (Williamstown, MA)
Wittenberg University (Springfield, OH)
