Azusa Pacific University (Azusa, CA)
California Baptist University (Riverside, CA)
Carroll College (Helena, MT)
Concordia University &#8212; Irvine (Irvine, CA)
Graceland University (Lamoni, IA)
Indiana Wesleyan University (Marion, IN)
Lee University (Cleveland, TN)
Lindsey Wilson College (Columbia, KY)
Macalester College (St. Paul, MN)
Martin Methodist College (Pulaski, TN)
Point Loma Nazarene University (San Diego, CA)
Savannah College of Art and Design (Savannah, GA)
Simon Fraser University (Burnaby, CN)
St. Xavier University (Chicago, IL)
William Carey University (Hattiesburg, MS)
William Jewell College (Liberty, MO)
