Central College (Pella, IA)
Chapman University (Orange, CA)
Coe College (Cedar Rapids, IA)
Emmanuel College (Boston, MA)
Emory University (Atlanta, GA)
Geneva College (Beaver Falls, PA)
Gustavus Adolphus College (St. Peter, MN)
Hope College (Holland, MI)
Illinois Wesleyan University (Bloomington, IL)
Ithaca College (Ithaca, NY)
Lake Forest College (Lake Forest, IL)
Linfield College (McMinnville, OR)
Louisiana College (Pineville, LA)
Methodist University (Fayetteville, NC)
Montclair State University (Montclair, NJ)
Moravian College (Bethlehem, PA)
Muskingum University (New Concord, OH)
Ramapo College of New Jersey (Mahwah, NJ)
Rowan University (Glassboro, NJ)
Rutgers, the State University of New Jersey &#8212; Camden (Camden, NJ)
SUNY &#8212; Cortland (Cortland, NY)
SUNY &#8212; Plattsburgh (Plattsburgh, NY)
Salisbury University (Salisbury, MD)
Simpson College (Indianola, IA)
St. Mary's University of Minnesota (Winona, MN)
The College of New Jersey (Ewing, NJ)
Transylvania University (Lexington, KY)
University of Redlands (Redlands, CA)
University of Saint Thomas (St. Paul, MN)
University of Wisconsin &#8212; Eau Claire (Eau Claire, WI)
University of Wisconsin &#8212; Parkside (Kenosha, WI)
Wartburg College (Waverly, IA)
Washington University in St. Louis (St. Louis, MO)
Williams College (Williamstown, MA)
