Bellevue University (Bellevue, NE)
Bethel College (Mishawaka, IN)
Biola University (La Mirada, CA)
California Baptist University (Riverside, CA)
Campbellsville University (Campbellsville, KY)
Cedarville University (Cedarville, OH)
Dickinson State University (Dickinson, ND)
Evangel University (Springfield, MO)
Indiana Wesleyan University (Marion, IN)
Judson University (Elgin, IL)
Lee University (Cleveland, TN)
McKendree University (Lebanon, IL)
Oklahoma City University (Oklahoma City, OK)
Olivet Nazarene University (Bourbonnais, IL)
Oregon Institute of Technology (Klamath Falls, OR)
Point Loma Nazarene University (San Diego, CA)
Rogers State University (Claremore, OK)
Savannah College of Art and Design (Savannah, GA)
Shorter University (Rome, GA)
Simon Fraser University (Burnaby, CN)
St. Thomas University (Miami Gardens, FL)
The College of Idaho (Caldwell, ID)
Thomas University (Thomasville, GA)
Trevecca Nazarene University (Nashville, TN)
Trinity International University (Deerfield, IL)
University of Mobile (Mobile, AL)
Vanguard University of Southern California (Costa Mesa, CA)
William Penn University (Oskaloosa, IA)
