Amherst College (Amherst, MA)
Bates College (Lewiston, ME)
Bowdoin College (Brunswick, ME)
Brown University (Providence, RI)
Colby College (Waterville, ME)
Colgate University (Hamilton, NY)
Columbia University (New York, NY)
Cornell University (Ithaca, NY)
Dartmouth College (Hanover, NH)
Franklin & Marshall College (Lancaster, PA)
Hamilton College (Clinton, NY)
Harvard University (Cambridge, MA)
Haverford College (Haverford, PA)
Hobart and William Smith Colleges (Geneva, NY)
Middlebury College (Middlebury, VT)
Mount Holyoke College (South Hadley, MA)
Northeastern University (Boston, MA)
Princeton University (Princeton, NJ)
Smith College (Northampton, MA)
St. Lawrence University (Canton, NY)
Stanford University (Stanford, CA)
The George Washington University (Washington, DC)
Trinity College (Hartford, CT)
Tufts University (Medford, MA)
United States Naval Academy (Annapolis, MD)
University of Connecticut (Storrs, CT)
University of Pennsylvania (Philadelphia, PA)
University of Vermont (Burlington, VT)
University of Virginia (Charlottesville, VA)
Vassar College (Poughkeepsie, NY)
Wellesley College (Wellesley, MA)
Wesleyan University (Middletown, CT)
Williams College (Williamstown, MA)
Yale University (New Haven, CT)
