Amherst College (Amherst, MA)
Arizona State University (Tempe, AZ)
Asbury University (Wilmore, KY)
Ashland University (Ashland, OH)
Auburn University (Auburn, AL)
Bentley University (Waltham, MA)
Biola University (La Mirada, CA)
Bryant University (Smithfield, RI)
California Baptist University (Riverside, CA)
Calvin University (Grand Rapids, MI)
Carnegie Mellon University (Pittsburgh, PA)
Carthage College (Kenosha, WI)
Cumberland University (Lebanon, TN)
DePauw University (Greencastle, IN)
Delta State University (Cleveland, MS)
Denison University (Granville, OH)
Drury University (Springfield, MO)
Edinboro University of Pennsylvania (Edinboro, PA)
Emory University (Atlanta, GA)
Gannon University (Erie, PA)
Grand Valley State University (Allendale, MI)
Henderson State University (Arkadelphia, AR)
Hope College (Holland, MI)
Indiana University Bloomington (Bloomington, IN)
Indiana University of Pennsylvania (Indiana, PA)
Johns Hopkins University (Baltimore, MD)
Kenyon College (Gambier, OH)
Lewis University (Romeoville, IL)
Lindenwood University (St. Charles, MO)
Long Island University &#8212; C.W. Post Campus (Brookville, NY)
Louisiana State University &#8212; Baton Rouge (Baton Rouge, LA)
Massachusetts Institute of Technology (Cambridge, MA)
Middlebury College (Middlebury, VT)
Minnesota State University &#8212; Mankato (Mankato, MN)
Minnesota State University &#8212; Moorhead (Moorhead, MN)
New York University (New York, NY)
Ouachita Baptist University (Arkadelphia, AR)
Pennsylvania State University &#8212; University Park (University Park, PA)
SUNY &#8212; Geneseo (Geneseo, NY)
SUNY &#8212; New Paltz (New Paltz, NY)
Saint Leo University (Saint Leo, FL)
Savannah College of Art and Design (Savannah, GA)
Simon Fraser University (Burnaby, CAN)
Southern Connecticut State University (New Haven, CT)
Southern Methodist University (Dallas, TX)
St. Cloud State University (St. Cloud, MN)
Stanford University (Stanford, CA)
Texas A&M University &#8212; College Station (College Station, TX)
The Florida State University (Tallahassee, FL)
The University of Arizona (Tucson, AZ)
The University of Texas at Austin (Austin, TX)
Truman State University (Kirksville, MO)
University of Bridgeport (Bridgeport, CT)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Santa Cruz (Santa Cruz, CA)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Indianapolis (Indianapolis, IN)
University of Mary Washington (Fredericksburg, VA)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of Minnesota &#8212; Twin Cities (Minneapolis, MN)
University of Missouri &#8212; Columbia (Columbia, MO)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of South Dakota (Vermillion, SD)
University of Southern California (Los Angeles, CA)
University of Tampa (Tampa, FL)
University of Tennessee at Knoxville (Knoxville, TN)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Stevens Point (Stevens Point, WI)
University of Wisconsin, La Crosse (La Crosse, WI)
University of the Incarnate Word (San Antonio, TX)
Virginia Polytechnic Institute and State University (Blacksburg, VA)
Washington & Jefferson College (Washington, PA)
Washington University in St. Louis (St. Louis, MO)
Wheaton College (Wheaton, IL)
Whitworth College (Spokane, WA)
Williams College (Williamstown, MA)
Wingate University (Wingate, NC)
