Abilene Christian University (Abilene, TX)
Barry University (Miami Shores, FL)
CUNY &#8212; Queens College (Flushing, NY)
California University of Pennsylvania (California, PA)
Clayton State University (Morrow, GA)
Columbus State University (Columbus, GA)
Dallas Baptist University (Dallas, TX)
Delta State University (Cleveland, MS)
Drury University (Springfield, MO)
East Central University (Ada, OK)
Emporia State University (Emporia, KS)
Florida Southern College (Lakeland, FL)
Francis Marion University (Florence, SC)
Georgia College and State University (Milledgeville, GA)
Hawaii Pacific University (Honolulu, HI)
Lynn University (Boca Raton, FL)
North Greenville University (Tigerville, SC)
Northeastern State University (Tahlequah, OK)
Northwest Missouri State University (Maryville, MO)
Northwood University &#8212; Michigan Campus (Midland, MI)
Nova Southeastern University (Ft. Lauderdale, FL)
Palm Beach Atlantic University (West Palm Beach, FL)
Rollins College (Winter Park, FL)
Slippery Rock University of Pennsylvania (Slippery Rock, PA)
St. Edward's University (Austin, TX)
Tufts University (Medford, MA)
University of Indianapolis (Indianapolis, IN)
University of Mary Washington (Fredericksburg, VA)
University of Nebraska &#8212; Omaha (Omaha, NE)
University of North Alabama (Florence, AL)
University of West Florida (Pensacola, FL)
Valdosta State University (Valdosta, GA)
Washburn University (Topeka, KS)
