Amherst College (Amherst, MA)
Bowdoin College (Brunswick, ME)
Carnegie Mellon University (Pittsburgh, PA)
Coe College (Cedar Rapids, IA)
DePauw University (Greencastle, IN)
Denison University (Granville, OH)
Emmanuel College (Boston, MA)
Emory University (Atlanta, GA)
Grand Valley State University (Allendale, MI)
Gustavus Adolphus College (St. Peter, MN)
Johns Hopkins University (Baltimore, MD)
Luther College (Decorah, IA)
Massachusetts Institute of Technology (Cambridge, MA)
Middlebury College (Middlebury, VT)
Pomona College (Claremont, CA)
Sewanee: The University of the South (Sewanee, TN)
Skidmore College (Saratoga Springs, NY)
The College of New Jersey (Ewing, NJ)
Trinity University (San Antonio, TX)
University of California, Santa Cruz (Santa Cruz, CA)
University of Chicago (Chicago, IL)
University of Redlands (Redlands, CA)
University of Wisconsin &#8212; Whitewater (Whitewater, WI)
Vassar College (Poughkeepsie, NY)
Washington University in St. Louis (St. Louis, MO)
Washington and Lee University (Lexington, VA)
Wellesley College (Wellesley, MA)
Wheaton College (Wheaton, IL)
Williams College (Williamstown, MA)
