Azusa Pacific University (Azusa, CA)
Berry College (Mount Berry, GA)
Bethel College (Mishawaka, IN)
Bethel University (McKenzie, TN)
Brenau University (Gainesville, GA)
California Baptist University (Riverside, CA)
Cedarville University (Cedarville, OH)
Concordia University &#8212; Irvine (Irvine, CA)
Embry&#8211;Riddle Aeronautical University &#8212; Worldwide Campus (Daytona Beach, FL)
Fresno Pacific University (Fresno, CA)
Indiana University Southeast (New Albany, IN)
Indiana Wesleyan University (Marion, IN)
Lee University (Cleveland, TN)
Lewis&#8211;Clark State College (Lewiston, ID)
Lindsey Wilson College (Columbia, KY)
Oklahoma Christian University (Edmond, OK)
Olivet Nazarene University (Bourbonnais, IL)
Point Loma Nazarene University (San Diego, CA)
Savannah College of Art and Design (Savannah, GA)
Shorter University (Rome, GA)
Southern Nazarene University (Bethany, OK)
Union College (Barbourville, KY)
Vanguard University of Southern California (Costa Mesa, CA)
Webber International University (Babson Park, FL)
