Abilene Christian University (Abilene, TX)
Adams State College (Alamosa, CO)
Ashland University (Ashland, OH)
Dallas Baptist University (Dallas, TX)
East Stroudsburg University of Pennsylvania (East Stroudsburg, PA)
Ferris State University (Big Rapids, MI)
Grand Valley State University (Allendale, MI)
Hillsdale College (Hillsdale, MI)
Kutztown University of Pennsylvania (Kutztown, PA)
Lewis University (Romeoville, IL)
Lock Haven University of Pennsylvania (Lock Haven, PA)
Massachusetts, University of, Lowell (Lowell, MA)
Minnesota State University &#8212; Moorhead (Moorhead, MN)
Missouri Southern State University (Joplin, MO)
Northwest Missouri State University (Maryville, MO)
Northwest Nazarene University (Nampa, ID)
Saginaw Valley State University (University Center, MI)
Shippensburg University of Pennsylvania (Shippensburg, PA)
Slippery Rock University of Pennsylvania (Slippery Rock, PA)
University of Central Missouri (Warrensburg, MO)
University of Findlay (Findlay, OH)
University of Mary (Bismarck, ND)
Wayne State College (Wayne, NE)
Western State College of Colorado (Gunnison, CO)
Winona State University (Winona, MN)
