Azusa Pacific University (Azusa, CA)
Bethel College (Mishawaka, IN)
Black Hills State University (Spearfish, SD)
Cedarville University (Cedarville, OH)
Concordia University &#8212; Irvine (Irvine, CA)
Doane College (Crete, NE)
Goshen College (Goshen, IN)
Grace College and Theological Seminary (Winona Lake, IN)
Indiana Wesleyan University (Marion, IN)
Lindenwood University (St. Charles, MO)
Lindsey Wilson College (Columbia, KY)
Malone University (Canton, OH)
McKendree University (Lebanon, IL)
MidAmerica Nazarene University (Olathe, KS)
Missouri Baptist University (St. Louis, MO)
Oklahoma Baptist University (Shawnee, OK)
Olivet Nazarene University (Bourbonnais, IL)
Roberts Wesleyan College (Rochester, NY)
Siena Heights University (Adrian, MI)
Simon Fraser University (Burnaby, CN)
South Dakota School of Mines and Technology (Rapid City, SD)
Southwestern Christian University (Bethany, OK)
Spring Arbor University (Spring Arbor, MI)
Taylor University (Upland, IN)
Trinity Christian College (Palos Heights, IL)
Wayland Baptist University (Plainview, TX)
Westmont College (Santa Barbara, CA)
