Azusa Pacific University (Azusa, CA)
Bethel College (Mishawaka, IN)
Biola University (La Mirada, CA)
Bryan College (Dayton, TN)
California Baptist University (Riverside, CA)
Campbellsville University (Campbellsville, KY)
Cedarville University (Cedarville, OH)
Columbia College (Columbia, MO)
Concordia University &#8212; Irvine (Irvine, CA)
Dordt College (Sioux Center, IA)
Fresno Pacific University (Fresno, CA)
Indiana Wesleyan University (Marion, IN)
Kentucky Christian University (Grayson, KY)
Lewis&#8211;Clark State College (Lewiston, ID)
Lindenwood University (St. Charles, MO)
Madonna University (Livonia, MI)
Morningside College (Sioux City, IA)
Mount Vernon Nazarene University (Mount Vernon, OH)
Northwestern College (Orange City, IA)
Point Loma Nazarene University (San Diego, CA)
Savannah College of Art and Design (Savannah, GA)
Southeastern University (Lakeland, FL)
Southern Oregon University (Ashland, OR)
Southwestern Assemblies of God University (Waxahachie, TX)
The College of Idaho (Caldwell, ID)
Vanguard University of Southern California (Costa Mesa, CA)
Walsh University (North Canton, OH)
Westminster College (Salt Lake City, UT)
