Alvernia University (Reading, PA)
American University (Washington, DC)
Auburn University (Auburn, AL)
Bay Path College (Longmeadow, MA)
Baylor University (Waco, TX)
CUNY &#8212; John Jay College of Criminal Justice (New York, NY)
California State University &#8212; Fresno (Fresno, CA)
Castleton State College (Castleton, VT)
Cazenovia College (Cazenovia, NY)
Chadron State College (Chadron, NE)
Clark University (Worcester, MA)
Curry College (Milton, MA)
Dean College (Franklin, MA)
Defiance College (Defiance, OH)
East Tennessee State University (Johnson City, TN)
Endicott College (Beverly, MA)
Florida Atlantic University (Boca Raton, FL)
Florida Southern College (Lakeland, FL)
Guilford College (Greensboro, NC)
Hamline University (St. Paul, MN)
James Madison University (Harrisonburg, VA)
La Salle University (Philadelphia, PA)
Mercyhurst University (Erie, PA)
Michigan State University (East Lansing, MI)
Missouri Western State University (St. Joseph, MO)
Northeastern University (Boston, MA)
Ohio State University &#8212; Columbus (Columbus, OH)
Ohio University (Athens, OH)
Pace University (New York, NY)
Pine Manor College (Chestnut Hill, MA)
Saint Anselm College (Manchester, NH)
Saint Leo University (Saint Leo, FL)
Salve Regina University (Newport, RI)
Seattle University (Seattle, WA)
Seton Hall University (South Orange, NJ)
Southern Oregon University (Ashland, OR)
The Florida State University (Tallahassee, FL)
The George Washington University (Washington, DC)
The Sage Colleges (Troy, NY)
University of Delaware (Newark, DE)
University of Denver (Denver, CO)
University of Maryland, College Park (College Park, MD)
University of Miami (Coral Gables, FL)
University of New Hampshire (Durham, NH)
University of New Haven (West Haven, CT)
University of South Florida (Tampa, FL)
University of Toledo (Toledo, OH)
University of Wisconsin &#8212; Milwaukee (Milwaukee, WI)
Valparaiso University (Valparaiso, IN)
Virginia Commonwealth University (Richmond, VA)
West Virginia University (Morgantown, WV)
Western Connecticut State University (Danbury, CT)
Western New England University (Springfield, MA)
Wilkes University (Wilkes-Barre, PA)
Wilmington College (Wilmington, OH)
Wright State University (Dayton, OH)
York University (Toronto, Ontario, CAN)
