Arizona State University &#8212; Tempe Campus (Tempe, AZ)
Cornell University (Ithaca, NY)
Pennsylvania State University &#8212; University Park (University Park, PA)
The University of Texas at Austin (Austin, TX)
University of California &#8212; Los Angeles (Los Angeles, CA)
University of California, Berkeley (Berkeley, CA)
University of Florida (Gainesville, FL)
University of Georgia (Athens, GA)
University of Illinois at Urbana&#8211;Champaign (Champaign, IL)
University of Michigan &#8212; Ann Arbor (Ann Arbor, MI)
University of North Carolina at Chapel Hill (Chapel Hill, NC)
University of Pennsylvania (Philadelphia, PA)
University of Southern California (Los Angeles, CA)
University of Virginia (Charlottesville, VA)
University of Wisconsin &#8212; Madison (Madison, WI)
American University (Washington, DC)
Boston College (Chestnut Hill, MA)
College of William and Mary (Williamsburg, VA)
Columbia University (New York, NY)
Dartmouth College (Hanover, NH)
Duke University (Durham, NC)
Emory University (Atlanta, GA)
Florida Agricultural & Mechanical University (Tallahassee, FL)
Georgetown University (Washington, DC)
Harvard University (Cambridge, MA)
Howard University (Washington, DC)
Northwestern University (Evanston, IL)
Rice University (Houston, TX)
Southern Methodist University (Dallas, TX)
The George Washington University (Washington, DC)
Vanderbilt University (Nashville, TN)
Yale University (New Haven, CT)
Agnes Scott College (Decatur, GA)
Allegheny College (Meadville, PA)
Barnard College (New York, NY)
Clark Atlanta University (Atlanta, GA)
Colgate University (Hamilton, NY)
College of the Holy Cross (Worcester, MA)
Davidson College (Davidson, NC)
DePauw University (Greencastle, IN)
Denison University (Granville, OH)
Dickinson College (Carlisle, PA)
Franklin & Marshall College (Lancaster, PA)
Hamilton College (Clinton, NY)
Morehouse College (Atlanta, GA)
Pomona College (Claremont, CA)
Spelman College (Atlanta, GA)
University of Richmond (University of Richmond, VA)
Washington and Lee University (Lexington, VA)
Wesleyan University (Middletown, CT)
Wheaton College (Wheaton, IL)
Whitman College (Walla Walla, WA)
Williams College (Williamstown, MA)
